z_midpoint,probability,annual_mu,annual_sigma,wind_speed_raw_kmh,probability_raw,wind_speed_kmh
-4.9,2.245053272450533e-06,19.53,10.06,-29.764000000000003,2.245053272450533e-06,0.0
-4.800000000000001,3.538812785388128e-06,19.53,10.06,-28.75800000000001,3.538812785388128e-06,0.0
-4.7,4.375951293759513e-06,19.53,10.06,-27.752000000000002,4.375951293759513e-06,0.0
-4.6000000000000005,4.908675799086758e-06,19.53,10.06,-26.74600000000001,4.908675799086758e-06,0.0
-4.5,7.572298325722983e-06,19.53,10.06,-25.740000000000002,7.572298325722983e-06,0.0
-4.4,9.322678843226787e-06,19.53,10.06,-24.734,9.322678843226787e-06,0.0
-4.3,1.0844748858447488e-05,19.53,10.06,-23.728,1.0844748858447488e-05,0.0
-4.2,1.7617960426179603e-05,19.53,10.06,-22.722,1.7617960426179603e-05,0.0
-4.1000000000000005,2.1499238964992388e-05,19.53,10.06,-21.716000000000008,2.1499238964992388e-05,0.0
-4.0,2.964231354642313e-05,19.53,10.06,-20.71,2.964231354642313e-05,0.0
-3.9,3.5844748858447486e-05,19.53,10.06,-19.704,3.5844748858447486e-05,0.0
-3.8,5.053272450532724e-05,19.53,10.06,-18.698,5.053272450532724e-05,0.0
-3.7,6.04261796042618e-05,19.53,10.06,-17.692,6.04261796042618e-05,0.0
-3.6,7.903348554033485e-05,19.53,10.06,-16.686,7.903348554033485e-05,0.0
-3.5,0.000103805175038,19.53,10.06,-15.68,0.000103805175038,0.0
-3.4000000000000004,0.0001341704718417,19.53,10.06,-14.674000000000007,0.0001341704718417,0.0
-3.3000000000000003,0.0001705479452054,19.53,10.06,-13.668000000000006,0.0001705479452054,0.0
-3.2,0.0002279680365296,19.53,10.06,-12.661999999999999,0.0002279680365296,0.0
-3.1,0.0002953957382039,19.53,10.06,-11.656000000000002,0.0002953957382039,0.0
-3.0,0.0003733637747336,19.53,10.06,-10.649999999999999,0.0003733637747336,0.0
-2.9000000000000004,0.0004905631659056,19.53,10.06,-9.644000000000005,0.0004905631659056,0.0
-2.8000000000000003,0.0006230213089802,19.53,10.06,-8.638000000000002,0.0006230213089802,0.0
-2.7,0.0007877473363774,19.53,10.06,-7.6320000000000014,0.0007877473363774,0.0
-2.6,0.0010104642313546,19.53,10.06,-6.626000000000001,0.0010104642313546,0.0
-2.5,0.0013047184170471,19.53,10.06,-5.620000000000001,0.0013047184170471,0.0
-2.4000000000000004,0.0016647260273972,19.53,10.06,-4.614000000000004,0.0016647260273972,0.0
-2.3000000000000003,0.0020996194824961,19.53,10.06,-3.608000000000004,0.0020996194824961,0.0
-2.2,0.0026675418569254,19.53,10.06,-2.6020000000000003,0.0026675418569254,0.0
-2.1,0.0033562404870624,19.53,10.06,-1.596,0.0033562404870624,0.0
-2.0,0.0042246955859969,19.53,10.06,-0.5899999999999999,0.0042246955859969,0.0
-1.9,0.0052486301369863,19.53,10.06,0.41600000000000037,0.0052486301369863,0.41600000000000037
-1.8,0.0065036529680365,19.53,10.06,1.4220000000000006,0.0065036529680365,1.4220000000000006
-1.7000000000000002,0.0080136225266362,19.53,10.06,2.4279999999999973,0.0080136225266362,2.4279999999999973
-1.6,0.0097965753424657,19.53,10.06,3.434000000000001,0.0097965753424657,3.434000000000001
-1.5,0.0118492770167427,19.53,10.06,4.440000000000001,0.0118492770167427,4.440000000000001
-1.4,0.0141999619482496,19.53,10.06,5.4460000000000015,0.0141999619482496,5.4460000000000015
-1.3,0.0167501902587519,19.53,10.06,6.452,0.0167501902587519,6.452
-1.2000000000000002,0.0195749619482496,19.53,10.06,7.457999999999998,0.0195749619482496,7.457999999999998
-1.1,0.0226577245053272,19.53,10.06,8.464,0.0226577245053272,8.464
-1.0,0.0257290334855403,19.53,10.06,9.47,0.0257290334855403,9.47
-0.9,0.0289645357686453,19.53,10.06,10.476,0.0289645357686453,10.476
-0.8,0.0319446347031963,19.53,10.06,11.482000000000001,0.0319446347031963,11.482000000000001
-0.7000000000000001,0.0347268645357686,19.53,10.06,12.488,0.0347268645357686,12.488
-0.6000000000000001,0.0372869482496194,19.53,10.06,13.494,0.0372869482496194,13.494
-0.5,0.03927100456621,19.53,10.06,14.5,0.03927100456621,14.5
-0.4,0.0409767884322678,19.53,10.06,15.506,0.0409767884322678,15.506
-0.3,0.042086605783866,19.53,10.06,16.512,0.042086605783866,16.512
-0.2,0.0425525114155251,19.53,10.06,17.518,0.0425525114155251,17.518
-0.1,0.0425168188736681,19.53,10.06,18.524,0.0425168188736681,18.524
0.0,0.0418812404870624,19.53,10.06,19.53,0.0418812404870624,19.53
0.1,0.0408146499238964,19.53,10.06,20.536,0.0408146499238964,20.536
0.2,0.0393741248097412,19.53,10.06,21.542,0.0393741248097412,21.542
0.3,0.0375239726027397,19.53,10.06,22.548000000000002,0.0375239726027397,22.548000000000002
0.4,0.0355173896499238,19.53,10.06,23.554000000000002,0.0355173896499238,23.554000000000002
0.5,0.0331668188736681,19.53,10.06,24.560000000000002,0.0331668188736681,24.560000000000002
0.6000000000000001,0.030750304414003,19.53,10.06,25.566000000000003,0.030750304414003,25.566000000000003
