step,z_midpoint,wind_speed_expression,probability
1,-4.9,mu - 4.9 sigma,2.245053272450533e-06
2,-4.800000000000001,mu - 4.8 sigma,3.538812785388128e-06
3,-4.7,mu - 4.7 sigma,4.375951293759513e-06
4,-4.6000000000000005,mu - 4.6 sigma,4.908675799086758e-06
5,-4.5,mu - 4.5 sigma,7.572298325722983e-06
6,-4.4,mu - 4.4 sigma,9.322678843226789e-06
7,-4.3,mu - 4.3 sigma,1.0844748858447488e-05
8,-4.2,mu - 4.2 sigma,1.7617960426179603e-05
9,-4.1000000000000005,mu - 4.1 sigma,2.1499238964992388e-05
10,-4.0,mu - 4.0 sigma,2.9642313546423134e-05
11,-3.9000000000000004,mu - 3.9 sigma,3.5844748858447486e-05
12,-3.8000000000000003,mu - 3.8 sigma,5.0532724505327236e-05
13,-3.7,mu - 3.7 sigma,6.04261796042618e-05
14,-3.6,mu - 3.6 sigma,7.903348554033485e-05
15,-3.5,mu - 3.5 sigma,0.00010380517503805175
16,-3.4000000000000004,mu - 3.4 sigma,0.00013417047184170473
17,-3.3000000000000003,mu - 3.3 sigma,0.00017054794520547946
18,-3.2,mu - 3.2 sigma,0.00022796803652968037
19,-3.1,mu - 3.1 sigma,0.0002953957382039574
20,-3.0,mu - 3.0 sigma,0.00037336377473363774
21,-2.9000000000000004,mu - 2.9 sigma,0.0004905631659056316
22,-2.8000000000000003,mu - 2.8 sigma,0.0006230213089802131
23,-2.7,mu - 2.7 sigma,0.0007877473363774734
24,-2.6,mu - 2.6 sigma,0.0010104642313546422
25,-2.5,mu - 2.5 sigma,0.0013047184170471842
26,-2.4000000000000004,mu - 2.4 sigma,0.00166472602739726
27,-2.3000000000000003,mu - 2.3 sigma,0.0020996194824961945
28,-2.2,mu - 2.2 sigma,0.0026675418569254185
29,-2.1,mu - 2.1 sigma,0.0033562404870624055
30,-2.0,mu - 2.0 sigma,0.0042246955859969555
31,-1.9000000000000001,mu - 1.9 sigma,0.005248630136986301
32,-1.8,mu - 1.8 sigma,0.006503652968036529
33,-1.7000000000000002,mu - 1.7 sigma,0.008013622526636226
34,-1.6,mu - 1.6 sigma,0.009796575342465754
35,-1.5,mu - 1.5 sigma,0.01184927701674277
36,-1.4000000000000001,mu - 1.4 sigma,0.01419996194824962
37,-1.3,mu - 1.3 sigma,0.016750190258751903
38,-1.2000000000000002,mu - 1.2 sigma,0.01957496194824962
39,-1.1,mu - 1.1 sigma,0.022657724505327246
40,-1.0,mu - 1.0 sigma,0.025729033485540332
41,-0.9,mu - 0.9 sigma,0.028964535768645355
42,-0.8,mu - 0.8 sigma,0.03194463470319635
43,-0.7000000000000001,mu - 0.7 sigma,0.03472686453576864
44,-0.6000000000000001,mu - 0.6 sigma,0.037286948249619485
45,-0.5,mu - 0.5 sigma,0.03927100456621004
46,-0.4,mu - 0.4 sigma,0.04097678843226788
47,-0.30000000000000004,mu - 0.3 sigma,0.042086605783866055
48,-0.2,mu - 0.2 sigma,0.04255251141552511
49,-0.1,mu - 0.1 sigma,0.042516818873668184
50,0.0,mu + 0.0 sigma,0.041881240487062404
51,0.1,mu + 0.1 sigma,0.040814649923896495
52,0.2,mu + 0.2 sigma,0.03937412480974125
53,0.30000000000000004,mu + 0.3 sigma,0.03752397260273973
54,0.4,mu + 0.4 sigma,0.035517389649923896
55,0.5,mu + 0.5 sigma,0.03316681887366819
56,0.6000000000000001,mu + 0.6 sigma,0.030750304414003043
57,0.7000000000000001,mu + 0.7 sigma,0.028327473363774735
58,0.8,mu + 0.8 sigma,0.025896232876712333
59,0.9,mu + 0.9 sigma,0.023531887366818872
60,1.0,mu + 1.0 sigma,0.02118599695585997
61,1.1,mu + 1.1 sigma,0.018980479452054794
62,1.2000000000000002,mu + 1.2 sigma,0.01685426179604262
63,1.3,mu + 1.3 sigma,0.014958295281582953
64,1.4000000000000001,mu + 1.4 sigma,0.013121042617960425
65,1.5,mu + 1.5 sigma,0.01144406392694064
66,1.6,mu + 1.6 sigma,0.00994996194824962
67,1.7000000000000002,mu + 1.7 sigma,0.008668797564687976
68,1.8,mu + 1.8 sigma,0.007433143074581431
69,1.9000000000000001,mu + 1.9 sigma,0.0064111111111111105
70,2.0,mu + 2.0 sigma,0.005460464231354642
71,2.1,mu + 2.1 sigma,0.004673173515981735
72,2.2,mu + 2.2 sigma,0.003931050228310502
73,2.3000000000000003,mu + 2.3 sigma,0.003345814307458143
74,2.4000000000000004,mu + 2.4 sigma,0.002802283105022831
75,2.5,mu + 2.5 sigma,0.0023458523592085234
76,2.6,mu + 2.6 sigma,0.0019612252663622526
77,2.7,mu + 2.7 sigma,0.001643759512937595
78,2.8000000000000003,mu + 2.8 sigma,0.0013652207001522072
79,2.9000000000000004,mu + 2.9 sigma,0.0011259132420091324
80,3.0,mu + 3.0 sigma,0.0009223363774733638
81,3.1,mu + 3.1 sigma,0.0007704718417047184
82,3.2,mu + 3.2 sigma,0.0006256849315068492
83,3.3000000000000003,mu + 3.3 sigma,0.0005206621004566211
84,3.4000000000000004,mu + 3.4 sigma,0.0004203957382039574
85,3.5,mu + 3.5 sigma,0.00033508371385083713
86,3.6,mu + 3.6 sigma,0.00028264840182648407
87,3.7,mu + 3.7 sigma,0.00022264079147640793
88,3.8000000000000003,mu + 3.8 sigma,0.00017751141552511417
89,3.9000000000000004,mu + 3.9 sigma,0.0001483257229832572
90,4.0,mu + 4.0 sigma,0.00011624809741248097
91,4.1000000000000005,mu + 4.1 sigma,9.665144596651444e-05
92,4.2,mu + 4.2 sigma,7.671232876712329e-05
93,4.3,mu + 4.3 sigma,6.278538812785389e-05
94,4.4,mu + 4.4 sigma,5.041856925418569e-05
95,4.5,mu + 4.5 sigma,3.9878234398782346e-05
96,4.6000000000000005,mu + 4.6 sigma,3.120243531202435e-05
97,4.7,mu + 4.7 sigma,2.6369863013698625e-05
98,4.800000000000001,mu + 4.8 sigma,1.9824961948249618e-05
99,4.9,mu + 4.9 sigma,1.4916286149162861e-05
100,5.0,mu + 5.0 sigma,1.2633181126331809e-05
