wind_speed_midpoint_kmh,probability
0.5,0.07524326484018265
1.5,0.01757568493150685
2.5,0.020653310502283105
3.5,0.023832077625570776
4.5,0.02723321917808219
5.5,0.0306148401826484
6.5,0.03388778538812785
7.5,0.03696746575342466
8.5,0.039746575342465756
9.5,0.041893264840182645
10.5,0.043518150684931506
11.5,0.04462853881278539
12.5,0.0451615296803653
13.5,0.0448472602739726
14.5,0.04400399543378995
15.5,0.042723972602739725
16.5,0.04079885844748858
17.5,0.038748858447488585
18.5,0.036022602739726024
19.5,0.033383561643835616
20.5,0.030515068493150686
21.5,0.02783447488584475
22.5,0.025054908675799088
23.5,0.022233333333333334
24.5,0.019691552511415526
25.5,0.017365981735159818
26.5,0.015169292237442922
27.5,0.013058447488584474
28.5,0.011238698630136986
29.5,0.009569977168949771
30.5,0.008132420091324201
31.5,0.006879452054794521
32.5,0.005748173515981735
33.5,0.004838356164383562
34.5,0.003983447488584475
35.5,0.0033044520547945207
36.5,0.002675228310502283
37.5,0.0022093607305936074
38.5,0.0018075342465753426
39.5,0.001467579908675799
40.5,0.001187214611872146
41.5,0.0009365296803652968
42.5,0.000751027397260274
43.5,0.0006215753424657534
44.5,0.00048767123287671234
45.5,0.0003791095890410959
46.5,0.000291324200913242
47.5,0.00023595890410958904
48.5,0.00018310502283105023
49.5,0.00014029680365296803
50.5,0.00010844748858447488
51.5,9.440639269406393e-05
52.5,7.077625570776256e-05
53.5,5.3310502283105024e-05
54.5,4.646118721461187e-05
55.5,3.675799086757991e-05
56.5,2.3401826484018266e-05
57.5,2.328767123287671e-05
58.5,1.643835616438356e-05
59.5,1.1073059360730594e-05
60.5,9.817351598173517e-06
61.5,5.593607305936073e-06
62.5,5.251141552511415e-06
63.5,4.7945205479452054e-06
64.5,4.10958904109589e-06
65.5,2.3972602739726027e-06
66.5,1.9406392694063926e-06
67.5,1.3698630136986302e-06
68.5,7.990867579908675e-07
69.5,9.132420091324201e-07
