Month,Day,Hour,mu_t,sigma_t,count
1,1,0,13.733333333333333,11.272385136547928,15
1,1,1,12.0,10.895608551810483,15
1,1,2,10.666666666666666,9.021139195298584,15
1,1,3,11.0,9.219544457292887,15
1,1,4,11.4,8.157380531938983,15
1,1,5,12.133333333333333,8.667399236438202,15
1,1,6,10.533333333333333,10.635967728599477,15
1,1,7,11.666666666666666,10.396885980678931,15
1,1,8,11.733333333333333,9.595137657515219,15
1,1,9,10.933333333333334,9.794070120425395,15
1,1,10,10.733333333333333,10.918311399182741,15
1,1,11,12.666666666666666,9.40111442228805,15
1,1,12,12.0,7.634508123364221,15
1,1,13,11.8,9.236573266871526,15
1,1,14,11.866666666666667,7.130083817045577,15
1,1,15,11.933333333333334,7.314043894812096,15
1,1,16,11.866666666666667,7.405274825291445,15
1,1,17,12.466666666666667,7.376281163941883,15
1,1,18,10.533333333333333,7.6426123681319735,15
1,1,19,11.8,8.792854241614933,15
1,1,20,10.666666666666666,9.131317121913595,15
1,1,21,13.533333333333333,8.517768543015299,15
1,1,22,12.866666666666667,7.376281163941883,15
1,1,23,13.4,7.490946917065005,15
1,2,0,13.266666666666667,9.246363506548837,15
1,2,1,14.066666666666666,7.23549452023709,15
1,2,2,15.0,8.22018421760903,15
1,2,3,13.666666666666666,7.306226959310282,15
1,2,4,13.4,7.576278769950323,15
1,2,5,14.4,6.9261409580969815,15
1,2,6,15.266666666666667,7.468664698656138,15
1,2,7,13.2,6.471917357763021,15
1,2,8,11.066666666666666,7.713315635654883,15
1,2,9,11.8,7.301663215616407,15
1,2,10,9.933333333333334,9.027471301269149,15
1,2,11,9.666666666666666,9.232447954800245,15
1,2,12,10.466666666666667,8.492573786774509,15
1,2,13,10.333333333333334,7.834599695003721,15
1,2,14,11.0,8.577378887016042,15
1,2,15,11.466666666666667,6.610237370566815,15
1,2,16,10.933333333333334,7.205817755384153,15
1,2,17,12.066666666666666,5.522249369164535,15
1,2,18,10.266666666666667,5.7627704977314345,15
1,2,19,9.933333333333334,6.670475102662335,15
1,2,20,12.866666666666667,5.629852404391975,15
1,2,21,11.8,6.613838306373777,15
1,2,22,11.4,7.632636691022497,15
1,2,23,12.533333333333333,8.887122840433365,15
1,3,0,10.333333333333334,8.557925872435169,15
1,3,1,11.933333333333334,8.08408194864333,15
