wind_speed_midpoint_kmh,probability
0.5,0.08082465753424657
1.5,0.018033675799086758
2.5,0.020875
3.5,0.024049657534246576
4.5,0.027249657534246574
5.5,0.03047294520547945
6.5,0.03349178082191781
7.5,0.036429794520547946
8.5,0.038930707762557075
9.5,0.04101974885844749
10.5,0.042475
11.5,0.043554337899543376
12.5,0.04402180365296804
13.5,0.04378904109589041
14.5,0.042875228310502285
15.5,0.04175445205479452
16.5,0.03999132420091324
17.5,0.03799566210045662
18.5,0.035515068493150684
19.5,0.032972260273972605
20.5,0.030239269406392693
21.5,0.02774337899543379
22.5,0.025019634703196347
23.5,0.022336415525114155
24.5,0.01991529680365297
25.5,0.01757191780821918
26.5,0.015453881278538813
27.5,0.013420205479452055
28.5,0.011536301369863014
29.5,0.009978424657534247
30.5,0.00851837899543379
31.5,0.007211643835616438
32.5,0.006101369863013698
33.5,0.005121575342465753
34.5,0.004272831050228311
35.5,0.0035878995433789953
36.5,0.00292648401826484
37.5,0.0024174657534246575
38.5,0.0019888127853881278
39.5,0.0016352739726027397
40.5,0.0013476027397260274
41.5,0.0010654109589041097
42.5,0.0008617579908675799
43.5,0.0007017123287671233
44.5,0.0005753424657534246
45.5,0.0004521689497716895
46.5,0.00035331050228310505
47.5,0.00027819634703196347
48.5,0.00021986301369863014
49.5,0.00017180365296803654
50.5,0.00013242009132420092
51.5,0.00011358447488584475
52.5,8.561643835616438e-05
53.5,7.054794520547945e-05
54.5,5.479452054794521e-05
55.5,4.4292237442922375e-05
56.5,3.367579908675799e-05
57.5,2.6712328767123288e-05
58.5,2.2146118721461187e-05
59.5,1.643835616438356e-05
60.5,1.278538812785388e-05
61.5,1.004566210045662e-05
62.5,6.506849315068493e-06
63.5,5.707762557077626e-06
64.5,4.337899543378996e-06
65.5,3.7671232876712327e-06
66.5,3.19634703196347e-06
67.5,1.7123287671232877e-06
68.5,1.7123287671232877e-06
69.5,1.1415525114155251e-06
