datetime,Year,Month,Day,Hour,Wind Spd (km/h),mu_t,sigma_t,y_t
2001-01-01 00:00:00,2001,1,1,0,15.0,13.733333333333333,11.272385136547928,0.11236900188583987
2001-01-01 01:00:00,2001,1,1,1,9.0,12.0,10.895608551810483,-0.27534028831290025
2001-01-01 02:00:00,2001,1,1,2,4.0,10.666666666666666,9.021139195298584,-0.7390049662620255
2001-01-01 03:00:00,2001,1,1,3,6.0,11.0,9.219544457292887,-0.5423261445466404
2001-01-01 04:00:00,2001,1,1,4,7.0,11.4,8.157380531938983,-0.5393888372342652
2001-01-01 05:00:00,2001,1,1,5,7.0,12.133333333333333,8.667399236438202,-0.5922576303803486
2001-01-01 06:00:00,2001,1,1,6,0.0,10.533333333333333,10.635967728599477,-0.9903502532270603
2001-01-01 07:00:00,2001,1,1,7,4.0,11.666666666666666,10.396885980678931,-0.7374002832111488
2001-01-01 08:00:00,2001,1,1,8,0.0,11.733333333333333,9.595137657515219,-1.2228415841583482
2001-01-01 09:00:00,2001,1,1,9,0.0,10.933333333333334,9.794070120425395,-1.1163217333447533
2001-01-01 10:00:00,2001,1,1,10,6.0,10.733333333333333,10.918311399182741,-0.4335224706713927
2001-01-01 11:00:00,2001,1,1,11,6.0,12.666666666666666,9.40111442228805,-0.7091357861639693
2001-01-01 12:00:00,2001,1,1,12,4.0,12.0,7.634508123364221,-1.0478736639911677
2001-01-01 13:00:00,2001,1,1,13,6.0,11.8,9.236573266871526,-0.6279385040773341
2001-01-01 14:00:00,2001,1,1,14,6.0,11.866666666666667,7.130083817045577,-0.8228047267328732
2001-01-01 15:00:00,2001,1,1,15,0.0,11.933333333333334,7.314043894812096,-1.6315643582338537
2001-01-01 16:00:00,2001,1,1,16,6.0,11.866666666666667,7.405274825291445,-0.7922280813441351
2001-01-01 17:00:00,2001,1,1,17,11.0,12.466666666666667,7.376281163941883,-0.19883551535918956
2001-01-01 18:00:00,2001,1,1,18,4.0,10.533333333333333,7.6426123681319735,-0.8548560385681614
2001-01-01 19:00:00,2001,1,1,19,0.0,11.8,8.792854241614933,-1.3419988181030922
2001-01-01 20:00:00,2001,1,1,20,0.0,10.666666666666666,9.131317121913595,-1.1681410824149887
2001-01-01 21:00:00,2001,1,1,21,0.0,13.533333333333333,8.517768543015299,-1.5888355342117009
2001-01-01 22:00:00,2001,1,1,22,6.0,12.866666666666667,7.376281163941883,-0.9309117309998419
2001-01-01 23:00:00,2001,1,1,23,9.0,13.4,7.490946917065005,-0.5873756747596798
2001-01-02 00:00:00,2001,1,2,0,13.0,13.266666666666667,9.246363506548837,-0.028840166891318728
2001-01-02 01:00:00,2001,1,2,1,11.0,14.066666666666666,7.23549452023709,-0.42383649909338594
2001-01-02 02:00:00,2001,1,2,2,11.0,15.0,8.22018421760903,-0.48660709956247955
2001-01-02 03:00:00,2001,1,2,3,11.0,13.666666666666666,7.306226959310282,-0.36498546808329685
2001-01-02 04:00:00,2001,1,2,4,15.0,13.4,7.576278769950323,0.21118547093938184
2001-01-02 05:00:00,2001,1,2,5,17.0,14.4,6.9261409580969815,0.3753894146437315
2001-01-02 06:00:00,2001,1,2,6,19.0,15.266666666666667,7.468664698656138,0.4998662390085719
2001-01-02 07:00:00,2001,1,2,7,15.0,13.2,6.471917357763021,0.2781246886351095
2001-01-02 08:00:00,2001,1,2,8,4.0,11.066666666666666,7.713315635654883,-0.9161645912687567
2001-01-02 09:00:00,2001,1,2,9,9.0,11.8,7.301663215616407,-0.3834742739176891
2001-01-02 10:00:00,2001,1,2,10,0.0,9.933333333333334,9.027471301269149,-1.1003450470052265
2001-01-02 11:00:00,2001,1,2,11,4.0,9.666666666666666,9.232447954800245,-0.6137772662688431
2001-01-02 12:00:00,2001,1,2,12,0.0,10.466666666666667,8.492573786774509,-1.23244930564706
2001-01-02 13:00:00,2001,1,2,13,13.0,10.333333333333334,7.834599695003721,0.340370506532357
2001-01-02 14:00:00,2001,1,2,14,9.0,11.0,8.577378887016042,-0.2331714648897565
