available_capacity_MW,probability
0.0,2.471470278101059e-20
0.0489,1.8597258296326193e-21
0.2147,1.7940880802454712e-21
0.4256,1.7097856090855272e-21
0.6815,1.6183553468240503e-21
0.9826,1.5112512262415303e-21
1.3288,1.4011423715361838e-21
1.72,1.2907457004059136e-21
2.1564,1.1799658519870427e-21
2.6379,1.0722340835381248e-21
3.1644,9.653432245234688e-22
3.736,8.648484787108403e-22
4.3528,7.679670427147052e-22
5.0,4.893511150640095e-18
5.0146,6.815770355571325e-22
5.0489,3.682257142672585e-19
5.2147,3.5522943988860315e-19
5.4256,3.3853755059893424e-19
5.6815,3.2043435867116183e-19
5.7215,5.9786233408422805e-22
5.9826,2.992277427958229e-19
6.3288,2.774261895641643e-19
6.4735,5.214505409352427e-22
6.72,2.5556764868037084e-19
7.1564,2.3363323869343436e-19
7.2706,4.533715534379124e-22
7.6379,2.1230234854054862e-19
8.1128,3.9499510036143847e-22
8.1644,1.9113795845564675e-19
8.736,1.712399987847463e-19
9.0001,3.3869231261151466e-22
9.3528,1.5205747445751157e-19
9.9325,2.92123268292381e-22
10.0,2.434398223929543e-16
10.0146,1.349522530403122e-19
10.0489,1.83182994218813e-17
10.2147,1.767176759041789e-17
10.4256,1.684138824949244e-17
10.6815,1.594080016621689e-17
10.7215,1.183767421486771e-19
10.91,2.4880689634163905e-22
10.9826,1.4885824578479072e-17
11.3288,1.380125235963141e-17
11.4735,1.0324720710517801e-19
11.72,1.2713845148998247e-17
11.9326,2.1293387325951064e-22
12.1564,1.1622663642072367e-17
12.2706,8.976756758070661e-20
12.6379,1.0561505722850526e-17
13.0003,1.7911891099896328e-22
13.1128,7.82090298715648e-20
13.1644,9.508630761556167e-18
13.736,8.518757515301775e-18
14.0001,6.706107789707988e-20
14.113,1.5245254584656225e-22
14.3528,7.564475370739846e-18
14.9325,5.784040712189141e-20
15.0,2.397820463813646e-16
15.0146,6.7135338002377546e-18
15.0489,1.8043059999095667e-17
15.2147,1.7406242554541554e-17
15.2709,1.2768646263220187e-22
15.4256,1.6588339979347777e-17
15.6815,1.570128357488693e-17
15.7215,5.8889439907296445e-18
15.91,4.926376547564451e-20
15.9826,1.4662159396995322e-17
16.3288,1.3593883288644048e-17
16.4735,5.1362878282121394e-18
16.4738,1.0688912518076994e-22
16.72,1.2522814785338168e-17
16.9326,4.216090690538309e-20
17.1564,1.1448028695978282e-17
17.2706,4.4657098013634364e-18
17.6379,1.0402815078486882e-17
17.7219,8.936353227046622e-23
18.0003,3.546554437779472e-20
18.1128,3.890701738560169e-18
18.1644,9.365759964326691e-18
18.736,8.390759940452568e-18
19.0001,3.336119279223419e-18
19.015,7.489815616731302e-23
19.113,3.0185604077619313e-20
19.3528,7.450816248418066e-18
19.9325,2.877414192679952e-18
20.0,1.1876666897883153e-14
20.0146,6.6126603989752965e-18
20.0489,8.936924872471745e-16
20.2147,8.621502230206809e-16
20.2709,2.5281919601175962e-20
20.3533,6.220649212859387e-23
20.4256,8.216386143031224e-16
20.6815,7.777017408198615e-16
20.7215,5.800460365285177e-18
20.91,2.4507479289651444e-18
20.9826,7.262327842711846e-16
21.3288,6.733199007366272e-16
21.4735,5.059113148153722e-18
21.4738,2.116404678579244e-20
21.72,6.202687068271952e-16
21.7366,5.130241082537823e-23
21.9326,2.0973986516061797e-18
22.1564,5.670333768162744e-16
22.2706,4.398610811454624e-18
22.6379,5.15262803666968e-16
22.7219,1.7693979389552305e-20
23.0003,1.764321273339788e-18
23.1128,3.832242463706675e-18
23.1644,4.638963301069024e-16
23.165,4.2026399540244446e-23
23.736,4.1560351301014653e-16
24.0001,3.2859928169569137e-18
24.015,1.482983492112797e-20
24.113,1.5016575765886377e-18
24.3528,3.690470743545799e-16
24.6385,3.510666850492628e-23
24.9325,2.8341799489726788e-18
25.0,1.4762091971097619e-15
25.0146,3.275322988216703e-16
25.0489,1.1108142380395632e-16
25.2147,1.0716088103306196e-16
25.2709,1.2577116569271884e-18
25.3533,1.2316885441461581e-20
25.4256,1.0212549443067851e-16
25.6815,9.666436486580049e-17
25.7215,2.8730314321906504e-16
25.91,2.4139245083065812e-18
25.9826,9.026703574340658e-17
26.1571,2.8509430572227927e-23
26.3288,8.369023385185623e-17
26.4735,2.505834050801247e-16
26.4738,1.052857883030584e-18
26.72,7.70962406852452e-17
26.7366,1.0157877343424887e-20
26.9326,2.0658844383637716e-18
27.0,1.2097132399530512e-22
27.1564,7.047936033918604e-17
27.2706,2.1786800225229096e-16
27.6379,6.404454180973217e-17
27.7219,8.802307928640921e-19
28.0003,1.737811674511941e-18
28.1128,1.8981515880875607e-16
28.1644,5.765995080078677e-17
28.165,8.321227108968397e-21
28.736,5.165739963339847e-17
29.0001,1.6275881662033837e-16
