available_capacity_MW,probability
0.0,2.4450329820126622e-20
0.0489,1.8576175636248983e-21
0.2147,1.8075020754227885e-21
0.4256,1.7281755252857457e-21
0.6815,1.6458373645966497e-21
0.9826,1.540821100268609e-21
1.3288,1.4337086717739441e-21
1.72,1.3194807281925669e-21
2.1564,1.2156919942449873e-21
2.6379,1.1023274830498589e-21
3.1644,9.912463864183789e-22
3.736,8.893249550410693e-22
4.3528,7.878612468564743e-22
5.0,4.841165304385069e-18
5.0146,6.995934902617813e-22
5.0489,3.678082775977297e-19
5.2147,3.57885410933712e-19
5.4256,3.421787540065775e-19
5.6815,3.258757981901365e-19
5.7215,6.123296038511094e-22
5.9826,3.050825778531845e-19
6.3288,2.838743170112408e-19
6.4735,5.319627737306295e-22
6.72,2.6125718418212813e-19
7.1564,2.407070148605074e-19
7.2706,4.617646804482519e-22
7.6379,2.18260841643872e-19
8.1128,3.998836256334569e-22
8.1644,1.9626678451083892e-19
8.736,1.7608634109813164e-19
9.0001,3.4143029336408993e-22
9.3528,1.5599652687758184e-19
9.9325,2.909194987682722e-22
10.0,2.4083574872824717e-16
10.0146,1.3851951107183264e-19
10.0489,1.8297533001705244e-17
10.2147,1.7803895442914465e-17
10.4256,1.7022528924064594e-17
10.6815,1.6211498041276997e-17
10.7215,1.212412615625196e-19
10.91,2.481379844493991e-22
10.9826,1.5177087837645796e-17
11.3288,1.4122030416973346e-17
11.4735,1.053286291986646e-19
11.72,1.2996885172696781e-17
11.9326,2.0897144307296852e-22
12.1564,1.1974566143313124e-17
12.2706,9.142940672875383e-20
12.6379,1.0857925708041109e-17
13.0003,1.7528717720925488e-22
13.1128,7.917695787542443e-20
13.1644,9.76377690622103e-18
13.736,8.759850807154531e-18
14.0001,6.760319808608978e-20
14.113,1.4763653524948e-22
14.3528,7.760433281536271e-18
14.9325,5.760206075611788e-20
15.0,2.3721709991486837e-16
15.0146,6.890995879078545e-18
15.0489,1.8022605602288754e-17
15.2147,1.7536385135751888e-17
15.2709,1.2253457924912473e-22
15.4256,1.6766758946322298e-17
15.6815,1.5967914111316688e-17
15.7215,6.0314465979334265e-18
15.91,4.9131320920981005e-20
15.9826,1.4949046314806036e-17
16.3288,1.3909841533550797e-17
16.4735,5.2398333212467e-18
16.4738,1.0139088858575358e-22
16.72,1.2801602024924278e-17
16.9326,4.137634572844775e-20
17.1564,1.1794643728164862e-17
17.2706,4.5483821024152806e-18
17.6379,1.0694781240549727e-17
17.7219,8.338884347236444e-23
18.0003,3.4706861087432455e-20
18.1128,3.93885371248955e-18
18.1644,9.617072441031106e-18
18.736,8.62823071380845e-18
19.0001,3.3630883896362852e-18
19.015,7.022410028196326e-23
19.113,2.923203397939703e-20
19.3528,7.64382981700151e-18
19.9325,2.8655570628674808e-18
20.0,1.1749622295281723e-14
20.0146,6.787456042519799e-18
20.0489,8.926793586116534e-16
20.2147,8.685963273458042e-16
20.2709,2.4261846691326687e-20
20.3533,5.777715028012798e-23
20.4256,8.304759007930816e-16
20.6815,7.909082427818294e-16
20.7215,5.9408218165634605e-18
20.91,2.4441591468265808e-18
20.9826,7.404426069481465e-16
21.3288,6.889696580267496e-16
21.4735,5.161102830734566e-18
21.4738,2.0075395939979202e-20
21.72,6.340773435867565e-16
21.7366,4.619363266455068e-23
21.9326,2.05836871426874e-18
22.1564,5.842015982957579e-16
22.2706,4.480040929708938e-18
22.6379,5.297242068645982e-16
22.7219,1.651099100752815e-20
23.0003,1.7265786955111604e-18
23.1128,3.879670935895797e-18
23.1644,4.76344111824276e-16
23.165,3.787659419696349e-23
