available_capacity_MW,probability
0.0,1.3355994628625425e-20
0.0073,1.7893893904169276e-21
0.1604,1.8671136958169097e-21
0.3591,1.9176826949089053e-21
0.6035,1.9389117569977225e-21
0.8935,1.9372854208135222e-21
1.2291,1.908325193431177e-21
1.6104,1.8597258296326197e-21
2.0373,1.7940880802454712e-21
2.5098,1.7097856090855272e-21
3.0279,1.6183553468240503e-21
3.5917,1.5112512262415305e-21
4.2012,1.401142371536184e-21
4.8562,1.2907457004059138e-21
5.0,2.644486936467833e-18
5.0073,3.5429909930255153e-19
5.1604,3.6968851177174795e-19
5.3591,3.797011735919631e-19
5.5569,1.1799658519870427e-21
5.6035,3.8390452788554886e-19
5.8935,3.8358251332107724e-19
6.2291,3.778483882993729e-19
6.3032,1.0722340835381248e-21
6.6104,3.6822571426725853e-19
7.0373,3.552294398886032e-19
7.0952,9.653432245234688e-22
7.5098,3.3853755059893424e-19
7.9328,8.648484787108403e-22
8.0279,3.2043435867116183e-19
8.5917,2.992277427958229e-19
8.816,7.679670427147052e-22
9.2012,2.774261895641643e-19
9.7449,6.815770355571326e-22
9.8562,2.5556764868037084e-19
10.0,1.3155654709196043e-16
10.0073,1.7625485495606734e-17
10.1604,1.8391069903796557e-17
10.3591,1.8889174544852715e-17
10.5569,2.3363323869343436e-19
10.6035,1.9098280806427562e-17
10.7194,5.9786233408422805e-22
10.8935,1.908226139501319e-17
11.2291,1.8797003155297092e-17
11.3032,2.1230234854054862e-19
11.6104,1.83182994218813e-17
11.7395,5.214505409352427e-22
12.0373,1.767176759041789e-17
12.0952,1.9113795845564675e-19
12.5098,1.684138824949244e-17
12.8053,4.533715534379124e-22
12.9328,1.712399987847463e-19
13.0279,1.594080016621689e-17
13.5917,1.4885824578479072e-17
13.816,1.5205747445751157e-19
13.9167,3.949951003614385e-22
14.2012,1.3801252359631411e-17
14.7449,1.3495225304031221e-19
14.8562,1.2713845148998249e-17
15.0,1.2957985988692382e-16
15.0073,1.7360655865825022e-17
