available_capacity_MW,probability
0.0,1.3250570913224828e-20
0.0073,1.7840750015611778e-21
0.1604,1.8676012745576797e-21
0.3591,1.926982015156015e-21
0.6035,1.9487608484500916e-21
0.8935,1.945098966759377e-21
1.2291,1.9190080597130187e-21
1.6104,1.870914653303401e-21
2.0373,1.8031230281966993e-21
2.5098,1.7222963526398045e-21
3.0279,1.6265620734954199e-21
3.5917,1.5199045677167878e-21
4.2012,1.4101521477251257e-21
4.8562,1.3062670608969965e-21
5.0,2.623613040818515e-18
5.0073,3.5324685030911306e-19
5.1604,3.697850523624204e-19
5.3591,3.8154243900089077e-19
5.5569,1.1858983049241465e-21
5.6035,3.85854647993118e-19
5.8935,3.8512959541835653e-19
6.2291,3.7996359582317755e-19
6.3032,1.081831164318782e-21
6.6104,3.704411013540732e-19
7.0373,3.5701835958294634e-19
7.0952,9.722868057868176e-22
7.5098,3.410146778226811e-19
7.9328,8.70191047512107e-22
8.0279,3.22059290552093e-19
8.5917,3.009411044079239e-19
8.816,7.711121804030438e-22
9.2012,2.792101252495748e-19
9.7449,6.849591314778351e-22
9.8562,2.586408780576052e-19
10.0,1.3051812349526455e-16
10.0073,1.75731387653776e-17
10.1604,1.8395872554393144e-17
10.3591,1.8980772849286743e-17
10.5569,2.348078643749809e-19
10.6035,1.91952943572334e-17
10.7194,5.978281936920332e-22
10.8935,1.915922482257986e-17
11.2291,1.890222938817323e-17
11.3032,2.1420257053511872e-19
11.6104,1.8428509335038496e-17
11.7395,5.238571432322493e-22
12.0373,1.7760761827737488e-17
12.0952,1.9251278754578976e-19
12.5098,1.696461907350207e-17
12.8053,4.532514868831109e-22
12.9328,1.722978274073971e-19
13.0279,1.6021636423929884e-17
13.5917,1.4971059992010358e-17
13.816,1.5268021171980262e-19
13.9167,3.9455734910178585e-22
14.2012,1.388999865509249e-17
14.7449,1.356219080326113e-19
14.8562,1.2866730549835413e-17
15.0,1.2855703900010722e-16
15.0073,1.730909566514654e-17
15.0737,3.3521301925889836e-22
15.1604,1.81194675657586e-17
15.3591,1.8695579511043647e-17
15.5569,1.168109830350284e-17
15.6035,1.8906877751662782e-17
15.7194,1.1836998235102253e-19
15.8935,1.887135017549947e-17
16.2291,1.86182161953357e-17
16.2764,2.9165535267073564e-22
16.3032,1.065603696854e-17
16.6104,1.815161396634959e-17
16.7395,1.0372371435998532e-19
17.0373,1.749389961956437e-17
17.0952,9.57702503700015e-18
17.5098,1.6709719213311374e-17
17.5247,2.4590783921923636e-22
17.8053,8.974379440285592e-20
17.9328,8.571381817994252e-18
18.0279,1.5780905237052558e-17
18.5917,1.474611411598827e-17
18.816,7.59545497696998e-18
18.8186,2.090809608523647e-22
18.9167,7.812235512215357e-20
19.2012,1.3681296137229163e-17
19.7449,6.746847445056675e-18
19.8562,1.2673403024822654e-17
20.0,6.36757068606413e-15
20.0073,8.573384313835579e-16
20.0737,6.637217781326185e-20
20.1582,1.7626966865770092e-22
20.1604,8.97477037556209e-16
20.3591,9.260124920378993e-16
20.5569,1.1505585354374063e-17
20.6035,9.3647832489659e-16
20.7194,5.8886077078665254e-18
20.8935,9.347186052088627e-16
21.2291,9.221806024337972e-16
21.2764,5.774775982880563e-20
21.3032,1.0495925956220817e-17
21.5434,1.487847498313507e-22
21.6104,8.990692839213845e-16
21.7395,5.1599928608376546e-18
22.0373,8.664919732819422e-16
22.0952,9.433126589743699e-18
22.5098,8.276506604586259e-16
22.5247,4.8689752165408777e-20
22.8053,4.464527145798642e-18
22.9328,8.442593542962457e-18
22.9742,1.2494090654974828e-22
23.0279,7.816454887929393e-16
23.5917,7.303911532860138e-16
23.816,7.481330374270328e-18
23.8186,4.1398030248768196e-20
23.9167,3.8863898886525905e-18
24.2012,6.776495546907407e-16
24.4507,1.0379666070775279e-22
24.7449,6.645473493597953e-18
24.8562,6.277275069587586e-16
25.0,7.914566006469188e-16
25.0073,1.0656279984324911e-16
25.0737,3.3018482397001486e-18
25.1582,3.490139439422477e-20
25.1604,1.1155182412933018e-16
25.3591,1.1509863576526875e-16
25.5569,5.698842210301683e-16
25.6035,1.1639948547792396e-16
25.7194,5.800129135200103e-18
25.8935,1.1618076128453757e-16
25.9728,8.752105302273381e-23
26.2291,1.1462235140665858e-16
26.2764,2.8728052238067457e-18
26.3032,5.198746872341666e-16
26.5434,2.945938046660743e-20
26.6104,1.117497322418121e-16
26.7395,5.08246200363928e-18
27.0,4.022400185011798e-22
27.0373,1.0770053847418882e-16
27.0952,4.672330727120588e-16
27.5098,1.0287276114317548e-16
27.5247,2.4221922163094776e-18
27.8053,4.39744592573994e-18
27.9328,4.1817088800930777e-16
27.9742,2.473829949685015e-20
28.0279,9.715455264988141e-17
28.5917,9.078389982972371e-17
28.816,3.7055847236746947e-16
28.8186,2.059447464395792e-18
28.9167,3.827995400985525e-18
29.2012,8.422838778362175e-17
29.4507,2.0551738820135047e-20
29.7449,3.291575672710945e-16
29.8562,7.802333154737757e-17
30.0,3.93729672544048e-14
30.0073,5.301230194222242e-15
30.0737,3.2522367128498303e-18
30.1582,1.736256236278354e-18
30.1604,5.5494215539085974e-15
30.3591,5.7258664762015006e-15
30.5569,7.083370575311925e-17
30.6035,5.7905804644320756e-15
30.7194,2.8728673703083555e-16
30.8935,5.779699488144925e-15
30.9728,1.7329168498501286e-20
31.2291,5.702172532098924e-15
31.2764,2.829640231611476e-18
31.3032,6.461777544476082e-17
31.5434,1.4655297858388042e-18
31.6104,5.559266982736613e-15
31.7395,2.517398994183528e-16
32.0,7.964352366323357e-20
32.0373,5.357829818034141e-15
32.0952,5.80746909096466e-17
32.5098,5.1176600871731244e-15
32.5247,2.38579785610503e-18
32.8053,2.1781030418933676e-16
32.9328,5.197651126789813e-17
32.9742,1.2306679295150204e-18
33.0279,4.833193654552181e-15
33.5917,4.516269764256458e-15
33.816,4.605853053547379e-17
33.8186,2.0285034821896415e-18
33.9167,1.8960479714909585e-16
34.2012,4.190149594286234e-15
34.4507,1.022397107971365e-18
34.7449,4.091260892317108e-17
34.8562,3.8814637158670164e-15
35.0,3.878137343169902e-14
35.0073,5.2215771923192065e-15
35.0737,1.6108683988020972e-16
35.1582,1.7101683253170134e-18
35.1604,5.466039382337179e-15
35.3591,5.639833152498168e-15
35.5569,3.523797988223357e-15
35.6035,5.703574788418273e-15
35.7194,3.570827800922513e-17
35.8935,5.6928573029423404e-15
35.9728,8.620823722739278e-19
36.2291,5.61649521892627e-15
36.2764,1.4015517416282373e-16
36.3032,3.2145711521762332e-15
36.5434,1.4435096428637639e-18
36.6104,5.475736879848793e-15
36.7395,3.128998716526224e-17
37.0,3.962064182236621e-18
37.0373,5.2773263852352525e-15
37.0952,2.8890692194950454e-15
37.5098,5.0407652960155986e-15
37.5247,1.1817117607536347e-16
37.8053,2.7072711311528208e-17
37.9328,2.585700181761599e-15
37.9742,1.2121766753456571e-18
38.0279,4.760573079844189e-15
38.5917,4.448411091656462e-15
38.816,2.2912955847192775e-15
38.8186,1.0047399512491105e-16
38.9167,2.3566910461849663e-17
39.2012,4.127191001397465e-15
39.4507,1.0070352021866173e-18
39.7449,2.0352989792587634e-15
39.8562,3.823143245821502e-15
40.0,1.9201580574701444e-12
40.0073,2.5853270865179894e-13
40.0737,2.0022273640333993e-17
40.1582,8.470650678657058e-17
40.1604,2.706366132424013e-13
40.3591,2.7924155624939574e-13
40.5569,3.470851581902843e-15
40.6035,2.823975562818308e-13
40.7194,1.7763966585397353e-15
40.8935,2.818669080795779e-13
40.9728,8.49129256426563e-19
41.2291,2.780860396385231e-13
41.2764,1.7420574215023035e-17
41.3032,3.1662709967932803e-15
41.5434,7.149861072128878e-17
41.6104,2.7111675941404264e-13
41.7395,1.5565978463526924e-15
42.0,3.9025326594984446e-18
42.0373,2.6129298381749753e-13
42.0952,2.845659854572683e-15
42.5098,2.4958028152372705e-13
42.5247,1.4688075236564985e-17
42.8053,1.3467990223159235e-15
42.9328,2.5468490521270086e-15
42.9742,6.00404359364192e-17
43.0279,2.3570729833839743e-13
43.5917,2.2025141568611807e-13
43.816,2.256867996238216e-15
43.8186,1.248840579171174e-17
43.9167,1.1723942830768647e-15
44.2012,2.0434704485153731e-13
44.4507,4.9879554500884386e-17
44.7449,2.004717837235383e-15
44.8562,1.8929291715920295e-13
45.0,9.505437500653507e-14
45.0073,1.279825113564927e-14
45.0737,9.960575523095448e-16
45.1582,1.0528587308924474e-17
45.1604,1.3397435708774614e-14
45.3591,1.3823409745815275e-14
45.5569,1.7185011879507754e-13
45.6035,1.3979642515006664e-14
45.7194,1.7497056224520313e-15
45.8935,1.3953373618538864e-14
45.9728,4.205830037744339e-17
46.2291,1.3766207731205666e-14
46.2764,8.666295758483682e-16
46.3032,1.5676960944496103e-13
46.5434,8.886913107426576e-18
46.6104,1.3421204582425192e-14
46.7395,1.5332093710978499e-15
47.0,1.932967090507542e-16
47.0373,1.2934894173810008e-14
47.0952,1.4089538907641705e-13
47.5098,1.2355075449075012e-14
47.5247,7.306946519200257e-16
47.8053,1.3265628542648821e-15
47.9328,1.2610055539200194e-13
47.9742,7.462720348216462e-18
48.0279,1.1668315449799182e-14
48.5917,1.0903196526400552e-14
48.816,1.1174290346512507e-13
48.8186,6.212666517593973e-16
48.9167,1.1547786126306336e-15
49.2012,1.0115875907833846e-14
49.4507,6.1997745440740725e-18
49.7449,9.925834924080459e-14
49.8562,9.370645225653057e-15
50.0,4.7287151202746e-12
50.0073,6.366806751825522e-13
50.0737,9.810914083763658e-16
50.1582,5.237706312773034e-16
50.1604,6.664885946031818e-13
50.3591,6.876797272539419e-13
50.5569,8.507167195593684e-15
50.6035,6.954519129940186e-13
50.7194,8.663208782610908e-14
50.8935,6.941451017303427e-13
50.9728,5.2276324970478885e-18
51.2291,6.848340714766456e-13
51.2764,8.536081365361286e-16
51.3032,7.760630531344198e-15
51.5434,4.421014853947059e-16
51.6104,6.676710360448899e-13
51.7395,7.591284338826191e-14
52.0,2.4025796305075462e-17
52.0373,6.434783212728718e-13
52.0952,6.974802463713146e-15
52.5098,6.146338039060046e-13
52.5247,7.197156865916841e-16
52.8053,6.568128273856527e-14
52.9328,6.242407719579133e-15
52.9742,3.7125149207036446e-16
53.0279,5.804692281844544e-13
53.5917,5.42406493863866e-13
53.816,5.531654964012356e-15
53.8186,6.119318837938753e-16
53.9167,5.717583626949343e-14
54.2012,5.032392812735526e-13
54.4507,3.0842312757136176e-16
54.7449,4.9136269353241854e-15
54.8562,4.661659367307204e-13
55.0,4.657664375320219e-12
55.0073,6.271143056468143e-13
55.0737,4.857616959405552e-14
55.1582,5.159007781372992e-16
55.1604,6.564743497299561e-13
55.3591,6.773470775449485e-13
55.5569,4.2321008523534243e-13
55.6035,6.850024832353266e-13
55.7194,4.28858391723833e-15
55.8935,6.837153073084044e-13
55.9728,2.6006151563596823e-16
56.2291,6.745441788290777e-13
56.2764,4.226416952918408e-14
56.3032,3.860717713825271e-13
56.5434,4.3545874226390217e-16
56.6104,6.576390245388344e-13
56.7395,3.757944745833722e-15
57.0,1.1952226949747139e-15
57.0373,6.338098145166905e-13
57.0952,3.469788094321945e-13
57.5098,6.053986970046756e-13
57.5247,3.563483580927256e-14
57.8053,3.2514475858136048e-15
57.9328,3.1054402039320444e-13
57.9742,3.6567329706260664e-16
58.0279,5.717474570401599e-13
58.5917,5.342566297936271e-13
58.816,2.751858656339481e-13
58.8186,3.029820332070216e-14
58.9167,2.8303989668606647e-15
59.2012,4.956779194838585e-13
59.4507,3.037889526596296e-16
59.7449,2.444405318835517e-13
59.8562,4.591616160569998e-13
60.0,2.305832194403175e-10
60.0073,3.1046040225511136e-11
60.0737,2.4046861262337484e-15
60.1582,2.554347482664833e-14
60.1604,3.2499544158399187e-11
60.3591,3.3532873396028406e-11
60.5569,4.168511925840905e-13
60.6035,3.3911863367818233e-11
60.7194,2.133462201252402e-13
60.8935,3.3848140191286134e-11
60.9728,2.561539923553466e-16
61.2291,3.339411255849463e-11
61.2764,2.0922205878509045e-15
61.3032,3.802708960358657e-13
61.5434,2.1560598263144464e-14
61.6104,3.255720277125571e-11
61.7395,1.8694826134576852e-13
62.0,1.1772640189486977e-15
62.0373,3.137750936252922e-11
62.0952,3.417653207219442e-13
62.5098,2.99709831691585e-11
62.5247,1.7640459508701486e-15
62.8053,1.617513066680001e-13
62.9328,3.0587797825937757e-13
62.9742,1.8105354855290293e-14
63.0279,2.830503847587148e-11
63.5917,2.6449010443496996e-11
63.816,2.7105109323660545e-13
63.8186,1.4998644352562882e-15
63.9167,1.4080520112917958e-13
64.2012,2.4539125465047848e-11
64.4507,1.504131374426799e-14
64.7449,2.407677198308851e-13
64.8562,2.2731342394451293e-11
65.0,5.708906669409733e-12
65.0073,7.686550067797046e-13
65.0737,1.196270623404163e-13
65.1582,1.264489152700895e-15
65.1604,8.046416597400499e-13
65.3591,8.30225395584819e-13
65.5569,2.0636714513584318e-11
65.6035,8.396086385755362e-13
65.7194,2.1014061194467817e-13
65.8935,8.380309449845495e-13
65.9728,1.268279353851435e-14
66.2291,8.267898781487618e-13
66.2764,1.0408269086025966e-13
66.3032,1.8825763387336345e-11
66.5434,1.0673231740986761e-15
66.6104,8.060692035148505e-13
66.7395,1.8413929254585238e-13
67.0,5.828914222791084e-14
67.0373,7.768617027032811e-13
67.0952,1.6919499043917393e-11
67.5098,7.420381505578834e-13
67.5247,8.775683139429783e-14
67.8053,1.5932093170486664e-13
67.9328,1.5142853434580865e-11
67.9742,8.962768368707133e-16
68.0279,7.007917719469035e-13
68.5917,6.548392050673492e-13
68.816,1.3418707033182748e-11
68.8186,7.461446811754768e-14
68.9167,1.386895493761726e-13
69.2012,6.075532181783686e-13
69.4507,7.445963480330995e-16
69.7449,1.191949258303804e-11
69.8562,5.627951267022196e-13
70.0,2.8400369037215083e-10
70.0073,3.823864553929338e-11
70.0737,1.1782962018545368e-13
70.1582,6.290514219244352e-14
70.1604,4.00288906486843e-11
70.3591,4.130161690156801e-11
70.5569,5.109351730245922e-13
70.6035,4.1768409545298134e-11
70.7194,1.0403261148251157e-11
70.8935,4.168992327322127e-11
70.9728,6.278415510902012e-16
71.2291,4.113070858467325e-11
71.2764,1.0251880880469433e-13
71.3032,4.660986450773013e-13
71.5434,5.30966326508685e-14
71.6104,4.009990734657211e-11
71.7395,9.116034879126724e-12
72.0,2.8855114101601734e-15
72.0373,3.864690793751171e-11
72.0952,4.1890229986962573e-13
72.5098,3.6914524156541164e-11
72.5247,8.643825159263728e-14
72.8053,7.887372381616358e-12
72.9328,3.7491512685270943e-13
72.9742,4.4587509308972365e-14
73.0279,3.486262097816666e-11
73.5917,3.257659681774439e-11
73.816,3.3222775821473193e-13
73.8186,7.349335732755813e-14
73.9167,6.865991239586929e-12
74.2012,3.022423837907541e-11
74.4507,3.704178802083855e-14
74.7449,2.951093790278983e-13
74.8562,2.7997636353620516e-11
75.0,2.7973642680107696e-10
75.0073,3.766409533220553e-11
75.0737,5.833295613088007e-12
75.1582,6.195996848234385e-14
75.1604,3.942744132726245e-11
75.3591,4.0681044383656136e-11
75.5569,2.5417734617637538e-11
75.6035,4.1140823290201276e-11
75.7194,2.5756968393892426e-13
75.8935,4.106351630424293e-11
75.9728,3.123353170827517e-14
76.2291,4.051270402928933e-11
76.2764,5.075315669508191e-12
76.3032,2.3187230575815236e-11
76.5434,5.2298835530835134e-14
76.6104,3.949739097222768e-11
76.7395,2.2569982519256404e-13
77.0,1.4354690601049353e-13
77.0373,3.806622343246078e-11
77.0952,2.08393315844233e-11
77.5098,3.635986937733629e-11
77.5247,4.27922854223522e-12
77.8053,1.9527992064133076e-13
77.9328,1.8651080805551453e-11
77.9742,4.3917565006664954e-14
78.0279,3.4338796825398275e-11
78.5917,3.208712104830012e-11
78.816,1.652749201219752e-11
78.8186,3.638376141883543e-12
78.9167,1.6999200234487214e-13
79.2012,2.977010769074007e-11
79.4507,3.648522105362188e-14
79.7449,1.4680946380933327e-11
79.8562,2.757696120840876e-11
80.0,1.3847839285663044e-08
80.0073,1.8644920326059798e-09
80.0737,1.444239537943317e-13
80.1582,3.067401997615427e-12
80.1604,1.951783245351505e-09
80.3591,2.013840567851375e-09
80.5569,2.503582347820502e-11
80.6035,2.036601080229345e-09
80.7194,1.2813441347466683e-11
80.8935,2.0327741395285853e-09
80.9728,3.0764236003419864e-14
81.2291,2.005507187035652e-09
81.2764,1.2565746781289342e-13
81.3032,2.283883360878776e-11
81.5434,2.589116110121298e-12
81.6104,1.955245974366259e-09
81.7395,1.1227996354276544e-11
82.0,1.4139005909784853e-13
82.0373,1.884398647444324e-09
82.0952,2.0526212693611662e-11
82.5098,1.79992871626655e-09
82.5247,1.0594750313570996e-13
82.8053,9.714682920793472e-12
82.9328,1.8370841215782766e-11
82.9742,2.1741913356563e-12
83.0279,1.6998792225200504e-09
83.5917,1.5884141386150188e-09
83.816,1.6279160152521866e-11
83.8186,9.008092554452544e-14
83.9167,8.456672843924195e-12
84.2012,1.4737146374984107e-09
84.4507,1.806244300708634e-12
84.7449,1.4460359572367019e-11
84.8562,1.3651469390955216e-09
85.0,1.7545948392764625e-10
85.0073,2.3624105037596095e-11
85.0737,7.184726994313975e-12
85.1582,7.594443240254957e-14
85.1604,2.473013109868746e-11
85.3591,2.551643035845948e-11
85.5569,1.2393525715438858e-09
85.6035,2.580481814758569e-11
85.7194,1.2620914513007288e-11
85.8935,2.5756328774873785e-11
85.9728,1.5230201254684817e-12
86.2291,2.5410841994301243e-11
86.2764,6.251141706853534e-12
86.3032,1.1305946133050237e-09
86.5434,6.410276630200957e-14
86.6104,2.4774005715757798e-11
86.7395,1.105929143443564e-11
87.0,6.99968318807798e-12
87.0373,2.387633242803804e-11
87.0952,1.0161125520009564e-09
87.5098,2.280605350393177e-11
87.5247,5.270620736801732e-12
87.8053,9.568716111425207e-12
87.9328,9.094148359859403e-10
87.9742,5.382982962432704e-14
88.0279,2.1538373241484056e-11
88.5917,2.0126051384298943e-11
88.816,8.058699972528025e-10
88.8186,4.481298568755431e-12
88.9167,8.329608114898736e-12
89.2012,1.8672747741938327e-11
89.4507,4.471999376159218e-14
89.7449,7.158336068739217e-10
89.8562,1.7297137299036573e-11
90.0,8.728666245895535e-09
90.0073,1.1752395687895028e-09
90.0737,7.076773735922254e-12
90.1582,3.778043733157138e-12
90.1604,1.2302615723336947e-09
90.3591,1.2693779749031613e-09
90.5569,1.5703255801981208e-11
90.6035,1.2837245391601974e-09
90.7194,6.247752493760828e-10
90.8935,1.281312315315691e-09
90.9728,3.7707773241420796e-14
91.2291,1.2641252204235722e-09
91.2764,6.157215922831777e-12
91.3032,1.432523466583386e-11
91.5434,3.188950747852496e-12
91.6104,1.2324442237384563e-09
91.7395,5.474699600216137e-10
92.0,1.7330202142709112e-13
92.0373,1.1877872445261352e-09
92.0952,1.2874686101468209e-11
92.5098,1.134543570776404e-09
92.5247,5.191427653649789e-12
92.8053,4.736817596350337e-10
92.9328,1.1522769329323429e-11
92.9742,2.677898089897077e-12
93.0279,1.0714796789324142e-09
93.5917,1.0012202330067912e-09
93.816,1.0210801188106094e-11
93.8186,4.413965351681747e-12
93.9167,4.1234198851655716e-10
94.2012,9.289220467580431e-10
94.4507,2.224706760362035e-12
94.7449,9.069992267327942e-12
94.8562,8.604889009874255e-10
95.0,8.597514712454666e-09
95.0073,1.1575811468422084e-09
95.0737,3.503227179838823e-10
95.1582,3.72127718772493e-12
95.1604,1.2117764238356854e-09
95.3591,1.2503050875645144e-09
95.5569,7.811973214621965e-10
95.6035,1.2644360892316987e-09
95.7194,7.916234479973256e-12
95.8935,1.2620601099688155e-09
95.9728,1.875866497111085e-12
96.2291,1.2451312577207607e-09
96.2764,3.0480169322793276e-10
96.3032,7.1264424979022e-10
96.5434,3.1410355487984692e-12
96.6104,1.213926280072132e-09
96.7395,6.936735375802139e-12
97.0,8.621337934630543e-12
97.0373,1.1699402889738639e-09
97.0952,6.404831217144539e-10
97.5098,1.1174966216926565e-09
97.5247,2.56992114444969e-10
97.8053,6.0017996582001e-12
97.9328,5.732286762314939e-10
97.9742,2.637661651592025e-12
98.0279,1.0553802888327187e-09
98.5917,9.861765178306481e-10
