wind_farm_power_MW,probability,z_min,z_max,wind_speed_min_kmh,wind_speed_max_kmh,wind_state_count
0.0,0.41547721063963033,-4.9,-0.3,-34.95396325246315,13.628078317363533,47
0.0396,0.042554990551390316,-0.2,-0.2,14.684209655838025,14.684209655838025,1
0.2214,0.04251929593006356,-0.1,-0.1,15.740340994312518,15.740340994312518,1
0.4579,0.04188368051426449,0.0,0.0,16.796472332787012,16.796472332787012,1
0.7491,0.040817027810866796,0.1,0.1,17.852603671261505,17.852603671261505,1
1.0949,0.03937641877081965,0.2,0.2,18.908735009736,18.908735009736,1
1.4955,0.037526158772796185,0.3,0.3,19.964866348210492,19.964866348210492,1
1.9507,0.03551945891520547,0.4,0.4,21.020997686684986,21.020997686684986,1
2.4606,0.03316875119322973,0.5,0.5,22.077129025159476,22.077129025159476,1
3.0251,0.030752095945924457,0.6000000000000001,0.6000000000000001,23.13326036363397,23.13326036363397,1
3.6444,0.028329123740047472,0.7000000000000001,0.7000000000000001,24.189391702108463,24.189391702108463,1
4.3183,0.025897741607397353,0.8,0.8,25.245523040582956,25.245523040582956,1
5.0469,0.023533258349259237,0.9,0.9,26.301654379057446,26.301654379057446,1
5.8302,0.021187231265261307,1.0,1.0,27.35778571753194,27.35778571753194,1
6.6682,0.018981585266630227,1.1,1.1,28.413917056006433,28.413917056006433,1
7.5608,0.01685524373585086,1.2000000000000002,1.2000000000000002,29.470048394480926,29.470048394480926,1
8.5081,0.01495916676119906,1.3,1.3,30.52617973295542,30.52617973295542,1
9.5101,0.013121807058090044,1.4,1.4,31.582311071429913,31.582311071429913,1
10.5668,0.011444730665245375,1.5,1.5,32.63844240990441,32.63844240990441,1
11.6781,0.009950541639240869,1.6,1.6,33.6945737483789,33.6945737483789,1
12.8441,0.008669302614242815,1.7000000000000002,1.7000000000000002,34.750705086853394,34.750705086853394,1
14.0648,0.007433576134134748,1.8,1.8,35.80683642532789,35.80683642532789,1
15.3402,0.006411484626444572,1.9,1.9,36.862967763802374,36.862967763802374,1
16.6703,0.005460782361407713,2.0,2.0,37.919099102276874,37.919099102276874,1
18.055,0.004673445777986514,2.1,2.1,38.97523044075136,38.97523044075136,1
19.4945,0.003931279253749535,2.2,2.2,40.03136177922586,40.03136177922586,1
20.9885,0.003346009236687235,2.3000000000000003,2.3000000000000003,41.08749311770035,41.08749311770035,1
22.5373,0.0028024463677849506,2.4000000000000004,2.4000000000000004,42.14362445617485,42.14362445617485,1
24.1408,0.002345989030030615,2.5,2.5,43.199755794649334,43.199755794649334,1
25.7989,0.001961339528569902,2.6,2.6,44.25588713312383,44.25588713312383,1
27.0,0.009108825936548447,2.7,5.0,45.31201847159832,69.60303925651166,24
