available_capacity_MW,probability
0.0,1.893018040976817e-20
0.0396,1.938911756997723e-21
0.2214,1.9372854208135226e-21
0.4579,1.9083251934311775e-21
0.7491,1.85972582963262e-21
1.0949,1.7940880802454716e-21
1.4955,1.7097856090855276e-21
1.9507,1.6183553468240505e-21
2.4606,1.5112512262415307e-21
3.0251,1.4011423715361841e-21
3.6444,1.290745700405914e-21
4.3183,1.1799658519870427e-21
5.0,3.748175721134097e-18
5.0396,3.8390452788554896e-19
5.0469,1.0722340835381248e-21
5.2214,3.835825133210773e-19
5.4579,3.7784838829937297e-19
5.7491,3.682257142672586e-19
5.8302,9.65343224523469e-22
6.0949,3.552294398886032e-19
6.4955,3.385375505989343e-19
6.6682,8.648484787108405e-22
6.9507,3.2043435867116187e-19
7.4606,2.992277427958229e-19
7.5608,7.679670427147053e-22
8.0251,2.7742618956416437e-19
8.5081,6.815770355571326e-22
8.6444,2.555676486803709e-19
9.3183,2.336332386934344e-19
9.5101,5.9786233408422805e-22
10.0,1.8646227703621648e-16
10.0396,1.9098280806427565e-17
10.0469,2.1230234854054864e-19
10.2214,1.9082261395013194e-17
10.4579,1.8797003155297096e-17
10.5668,5.214505409352428e-22
10.7491,1.8318299421881303e-17
10.8302,1.911379584556468e-19
11.0949,1.7671767590417892e-17
11.4955,1.6841388249492444e-17
11.6682,1.7123999878474632e-19
11.6781,4.5337155343791245e-22
11.9507,1.5940800166216895e-17
12.4606,1.4885824578479075e-17
12.5608,1.520574744575116e-19
12.8441,3.9499510036143857e-22
13.0251,1.3801252359631412e-17
13.5081,1.3495225304031221e-19
13.6444,1.271384514899825e-17
14.0648,3.386923126115147e-22
14.3183,1.162266364207237e-17
14.5101,1.1837674214867711e-19
15.0,1.836606103355707e-16
15.0396,1.8811321866391898e-17
15.0469,1.0561505722850528e-17
15.2214,1.8795543152732787e-17
15.3402,2.92123268292381e-22
15.4579,1.8514571026669275e-17
15.5668,1.0324720710517803e-19
15.7491,1.804305999909567e-17
15.8302,9.508630761556169e-18
16.0949,1.7406242554541557e-17
16.4955,1.658833997934778e-17
16.6682,8.518757515301777e-18
16.6703,2.488068963416391e-22
16.6781,8.976756758070662e-20
16.9507,1.5701283574886932e-17
17.4606,1.4662159396995325e-17
17.5608,7.564475370739847e-18
17.8441,7.82090298715648e-20
18.0251,1.3593883288644053e-17
18.055,2.1293387325951074e-22
18.5081,6.713533800237756e-18
18.6444,1.2522814785338172e-17
19.0648,6.70610778970799e-20
19.3183,1.1448028695978283e-17
19.4945,1.7911891099896333e-22
19.5101,5.888943990729646e-18
20.0,9.096910816034364e-15
20.0396,9.317453374330934e-16
20.0469,1.0402815078486882e-17
20.2214,9.309638004955517e-16
20.3402,5.784040712189142e-20
20.4579,9.170469439201476e-16
20.5668,5.13628782821214e-18
20.7491,8.936924872471749e-16
20.8302,9.365759964326692e-18
20.9885,1.5245254584656225e-22
21.0949,8.621502230206811e-16
21.4955,8.216386143031226e-16
21.6682,8.390759940452569e-18
21.6703,4.9263765475644524e-20
21.6781,4.465709801363437e-18
21.9507,7.777017408198616e-16
22.4606,7.262327842711846e-16
22.5373,1.2768646263220192e-22
22.5608,7.450816248418068e-18
22.8441,3.8907017385601694e-18
23.0251,6.733199007366273e-16
23.055,4.21609069053831e-20
23.5081,6.612660398975298e-18
