available_capacity_MW,probability
0.0,1.9238131354832665e-20
0.0396,1.960294336572116e-21
0.2214,1.945438656767489e-21
0.4579,1.9078261145170513e-21
0.7491,1.8506452713475013e-21
1.0949,1.7716386465042016e-21
1.4955,1.6788842759593536e-21
1.9507,1.582665660754187e-21
2.4606,1.4730269986666905e-21
3.0251,1.3595651836882957e-21
3.6444,1.2464882847832708e-21
4.3183,1.1383060618923048e-21
5.0,3.809150008256866e-18
5.0396,3.881382786412788e-19
5.0469,1.0325425683812928e-21
5.2214,3.8519685403996273e-19
5.4579,3.7774957067437603e-19
5.7491,3.6642776372680506e-19
5.8302,9.324955987166702e-22
6.0949,3.5078445200783174e-19
6.4955,3.3241908663995186e-19
6.6682,8.350286070573273e-22
6.9507,3.1336780082932885e-19
7.4606,2.9165934573600463e-19
7.5608,7.449270364775963e-22
8.0251,2.6919390637028243e-19
8.5081,6.6017787994511715e-22
8.6444,2.4680468038708753e-19
9.3183,2.2538460025467627e-19
9.5101,5.834287358564405e-22
10.0,1.8949559384510172e-16
10.0396,1.930889921523534e-17
10.0469,2.044434285394959e-19
10.2214,1.9162570769159766e-17
10.4579,1.8792087227992954e-17
10.5668,5.0853135017478805e-22
10.7491,1.8228855922772884e-17
10.8302,1.8463412854590063e-19
11.0949,1.7450640668066383e-17
11.4955,1.653701011819963e-17
11.6682,1.6533566419735073e-19
11.6781,4.45098221597266e-22
11.9507,1.5589256758428738e-17
12.4606,1.45093159368669e-17
12.5608,1.4749555322256402e-19
12.8441,3.9054417055002812e-22
13.0251,1.339171705932971e-17
13.5081,1.3071522022913313e-19
13.6444,1.2277909605115216e-17
14.0648,3.394335578888762e-22
14.3183,1.1212314709639202e-17
14.5101,1.1551888969957516e-19
15.0,1.8664835040458643e-16
15.0396,1.901877565342266e-17
15.0469,1.0170544298555733e-17
15.2214,1.887464584795817e-17
15.3402,2.937949953518363e-22
15.4579,1.8509728963044423e-17
15.5668,1.0068920733460798e-19
15.7491,1.7954960422613447e-17
15.8302,9.1850816473592e-18
16.0949,1.7188438148383756e-17
16.4955,1.6288535245357642e-17
16.6682,8.225031779514673e-18
16.6703,2.5237490491617993e-22
16.6781,8.812944787625863e-20
16.9507,1.5355022240637114e-17
17.4606,1.4291307941064226e-17
17.5608,7.337531309304323e-18
17.8441,7.732774576890554e-20
18.0251,1.3190501412143838e-17
18.055,2.2074936807720325e-22
18.5081,6.502752117459402e-18
18.6444,1.2093429338967287e-17
19.0648,6.720784446199745e-20
19.3183,1.1043845412479136e-17
19.4945,1.858000289289962e-22
19.5101,5.746773048185938e-18
20.0,9.244896847985736e-15
20.0396,9.42020750302621e-16
20.0469,1.0017727998435298e-17
20.2214,9.34881843468721e-16
20.3402,5.817140907966357e-20
20.4579,9.168071112152449e-16
20.5668,5.009033799221661e-18
