file,rows_after_basic_parse,year_min,year_max,missing_wind_before_completion
en_climate_hourly_SK_4016560_01-2001_P1H.csv,744,2001,2001,2
en_climate_hourly_SK_4016560_01-2002_P1H.csv,744,2002,2002,0
en_climate_hourly_SK_4016560_01-2003_P1H.csv,744,2003,2003,0
en_climate_hourly_SK_4016560_02-2001_P1H.csv,672,2001,2001,1
en_climate_hourly_SK_4016560_02-2002_P1H.csv,672,2002,2002,1
en_climate_hourly_SK_4016560_02-2003_P1H.csv,672,2003,2003,0
en_climate_hourly_SK_4016560_03-2001_P1H.csv,744,2001,2001,0
en_climate_hourly_SK_4016560_03-2002_P1H.csv,744,2002,2002,0
en_climate_hourly_SK_4016560_03-2003_P1H.csv,744,2003,2003,0
en_climate_hourly_SK_4016560_04-2001_P1H.csv,720,2001,2001,0
en_climate_hourly_SK_4016560_04-2002_P1H.csv,720,2002,2002,0
en_climate_hourly_SK_4016560_04-2003_P1H.csv,720,2003,2003,0
en_climate_hourly_SK_4016560_05-2001_P1H.csv,744,2001,2001,0
en_climate_hourly_SK_4016560_05-2002_P1H.csv,744,2002,2002,2
en_climate_hourly_SK_4016560_05-2003_P1H.csv,744,2003,2003,0
en_climate_hourly_SK_4016560_06-2001_P1H.csv,720,2001,2001,0
en_climate_hourly_SK_4016560_06-2002_P1H.csv,720,2002,2002,0
en_climate_hourly_SK_4016560_06-2003_P1H.csv,720,2003,2003,0
en_climate_hourly_SK_4016560_07-2001_P1H.csv,744,2001,2001,0
en_climate_hourly_SK_4016560_07-2002_P1H.csv,744,2002,2002,0
en_climate_hourly_SK_4016560_07-2003_P1H.csv,744,2003,2003,0
en_climate_hourly_SK_4016560_08-2001_P1H.csv,744,2001,2001,0
en_climate_hourly_SK_4016560_08-2002_P1H.csv,744,2002,2002,0
en_climate_hourly_SK_4016560_08-2003_P1H.csv,744,2003,2003,0
en_climate_hourly_SK_4016560_09-2001_P1H.csv,720,2001,2001,0
en_climate_hourly_SK_4016560_09-2002_P1H.csv,720,2002,2002,1
en_climate_hourly_SK_4016560_09-2003_P1H.csv,720,2003,2003,1
en_climate_hourly_SK_4016560_10-2001_P1H.csv,744,2001,2001,1
en_climate_hourly_SK_4016560_10-2002_P1H.csv,744,2002,2002,0
en_climate_hourly_SK_4016560_10-2003_P1H.csv,744,2003,2003,0
en_climate_hourly_SK_4016560_11-2001_P1H.csv,720,2001,2001,0
en_climate_hourly_SK_4016560_11-2002_P1H.csv,720,2002,2002,0
en_climate_hourly_SK_4016560_11-2003_P1H.csv,720,2003,2003,0
en_climate_hourly_SK_4016560_12-2001_P1H.csv,744,2001,2001,0
en_climate_hourly_SK_4016560_12-2002_P1H.csv,744,2002,2002,0
en_climate_hourly_SK_4016560_12-2003_P1H.csv,744,2003,2003,0
