datetime,year,month,day,hour,hour_index_8760,wind_speed_kmh,mu_t_kmh,sigma_t_kmh,y_standardized
2001-01-01 00:00:00,2001,1,1,0,0,32.0,17.333333333333332,13.051181300301261,1.1237807773253534
2001-01-01 01:00:00,2001,1,1,1,1,33.0,17.666666666666668,13.316656236958787,1.1514402009400453
2001-01-01 02:00:00,2001,1,1,2,2,28.0,15.0,11.532562594670797,1.1272429603813559
2001-01-01 03:00:00,2001,1,1,3,3,28.0,14.333333333333334,11.930353445448853,1.1455374502655808
2001-01-01 04:00:00,2001,1,1,4,4,30.0,12.333333333333334,15.69500982265807,1.1256231672542323
2001-01-01 05:00:00,2001,1,1,5,5,26.0,14.333333333333334,10.408329997330664,1.12089707663561
2001-01-01 06:00:00,2001,1,1,6,6,30.0,14.333333333333334,13.576941236277534,1.1539172479295552
2001-01-01 07:00:00,2001,1,1,7,7,26.0,14.333333333333334,10.408329997330664,1.12089707663561
2001-01-01 08:00:00,2001,1,1,8,8,26.0,12.666666666666666,11.547005383792515,1.1547005383792517
2001-01-01 09:00:00,2001,1,1,9,9,22.0,11.0,9.643650760992955,1.1406468642034677
2001-01-01 10:00:00,2001,1,1,10,10,24.0,13.0,10.14889156509222,1.0838622059807226
2001-01-01 11:00:00,2001,1,1,11,11,24.0,9.333333333333334,12.858201014657272,1.140646864203468
2001-01-01 12:00:00,2001,1,1,12,12,15.0,7.0,7.54983443527075,1.059625885652035
2001-01-01 13:00:00,2001,1,1,13,13,13.0,8.333333333333334,4.041451884327381,1.1547005383792512
2001-01-01 14:00:00,2001,1,1,14,14,6.0,6.666666666666667,0.5773502691896257,-1.1547005383792521
2001-01-01 15:00:00,2001,1,1,15,15,9.0,9.0,2.0,0.0
2001-01-01 16:00:00,2001,1,1,16,16,13.0,13.0,2.5275252316519463,0.0
2001-01-01 17:00:00,2001,1,1,17,17,11.0,14.333333333333334,3.055050463303893,-1.0910894511799623
2001-01-01 18:00:00,2001,1,1,18,18,7.0,13.666666666666666,5.773502691896258,-1.1547005383792512
2001-01-01 19:00:00,2001,1,1,19,19,4.0,12.0,7.54983443527075,-1.059625885652035
2001-01-01 20:00:00,2001,1,1,20,20,9.0,14.333333333333334,5.033222956847166,-1.0596258856520353
2001-01-01 21:00:00,2001,1,1,21,21,7.0,14.666666666666666,6.8068592855540455,-1.126314845811101
2001-01-01 22:00:00,2001,1,1,22,22,4.0,12.666666666666666,7.767453465154029,-1.1157667960994737
2001-01-01 23:00:00,2001,1,1,23,23,9.0,13.666666666666666,5.033222956847167,-0.9271726499455304
2001-01-02 00:00:00,2001,1,2,0,24,13.0,16.666666666666668,3.5118845842842457,-1.0440737953277495
2001-01-02 01:00:00,2001,1,2,1,25,17.0,18.0,1.7320508075688772,-0.5773502691896258
2001-01-02 02:00:00,2001,1,2,2,26,20.0,19.0,1.7320508075688772,0.5773502691896258
2001-01-02 03:00:00,2001,1,2,3,27,20.0,19.666666666666668,0.5773502691896255,0.577350269189624
2001-01-02 04:00:00,2001,1,2,4,28,24.0,19.333333333333332,4.509249752822894,1.0349097793364022
2001-01-02 05:00:00,2001,1,2,5,29,24.0,20.0,3.605551275463989,1.1094003924504583
2001-01-02 06:00:00,2001,1,2,6,30,32.0,23.333333333333332,7.505553499465135,1.1547005383792517
2001-01-02 07:00:00,2001,1,2,7,31,28.0,21.666666666666668,5.686240703077327,1.1137997253450433
2001-01-02 08:00:00,2001,1,2,8,32,6.0,15.0,8.18535277187245,-1.099524999206747
2001-01-02 09:00:00,2001,1,2,9,33,17.0,18.0,1.7320508075688772,-0.5773502691896258
2001-01-02 10:00:00,2001,1,2,10,34,32.0,22.666666666666668,8.144527815247079,1.1459637126980808
2001-01-02 11:00:00,2001,1,2,11,35,24.0,23.0,3.605551275463989,0.2773500981126146
2001-01-02 12:00:00,2001,1,2,12,36,9.0,14.666666666666666,5.507570547286102,-1.028886805536964
2001-01-02 13:00:00,2001,1,2,13,37,11.0,16.0,7.0,-0.7142857142857143
2001-01-02 14:00:00,2001,1,2,14,38,9.0,16.666666666666668,8.621678104251709,-0.8892313739811181
