wind_farm_power_MW,probability,wind_state_count,z_min,z_max,wind_speed_min_kmh,wind_speed_max_kmh
0.0,0.39030582191780844,46,-4.9,-0.4,0.0,14.247949673435835
0.142,0.046749771689497906,1,-0.3,-0.3,15.317174203326498,15.317174203326498
0.3596,0.04625125570776271,1,-0.2,-0.2,16.38639873321716,16.38639873321716
0.6332,0.0452601598173518,1,-0.1,-0.1,17.455623263107817,17.455623263107817
0.9629,0.04382146118721479,1,0.0,0.0,18.52484779299848,18.52484779299848
1.3486,0.042058561643835785,1,0.1,0.1,19.59407232288914,19.59407232288914
1.7904,0.038177739726027574,1,0.2,0.2,20.6632968527798,20.6632968527798
2.2882,0.03493036529680376,1,0.3,0.3,21.73252138267046,21.73252138267046
2.842,0.03184440639269415,1,0.4,0.4,22.80174591256112,22.80174591256112
3.4519,0.02924086757990873,1,0.5,0.5,23.870970442451775,23.870970442451775
4.1179,0.026915753424657622,1,0.6000000000000001,0.6000000000000001,24.94019497234244,24.94019497234244
4.8398,0.02444315068493161,1,0.7000000000000001,0.7000000000000001,26.0094195022331,26.0094195022331
5.6179,0.022256735159817402,1,0.8,0.8,27.07864403212376,27.07864403212376
6.4519,0.02024885844748859,1,0.9,0.9,28.14786856201442,28.14786856201442
7.342,0.018337214611872182,1,1.0,1.0,29.21709309190508,29.21709309190508
8.2882,0.016494977168949775,1,1.1,1.1,30.28631762179574,30.28631762179574
9.2903,0.014844178082191765,1,1.2000000000000002,1.2000000000000002,31.3555421516864,31.3555421516864
10.3486,0.013263470319634759,1,1.3,1.3,32.42476668157706,32.42476668157706
11.4628,0.011635159817351552,1,1.4,1.4,33.49399121146772,33.49399121146772
12.6332,0.010404908675799046,1,1.5,1.5,34.56321574135838,34.56321574135838
13.8595,0.009091894977168941,1,1.6,1.6,35.63244027124904,35.63244027124904
15.1419,0.007994178082191737,1,1.7000000000000002,1.7000000000000002,36.7016648011397,36.7016648011397
16.4803,0.007013470319634731,1,1.8,1.8,37.77088933103036,37.77088933103036
17.8748,0.0061894977168949275,1,1.9,1.9,38.84011386092102,38.84011386092102
19.3254,0.005281050228310523,1,2.0,2.0,39.90933839081168,39.90933839081168
20.8319,0.004638127853881221,1,2.1,2.1,40.978562920702345,40.978562920702345
22.3945,0.0040126712328767185,1,2.2,2.2,42.047787450593006,42.047787450593006
24.0132,0.0034954337899543155,1,2.3000000000000003,2.3000000000000003,43.11701198048367,43.11701198048367
25.6879,0.003066666666666614,1,2.4000000000000004,2.4000000000000004,44.18623651037433,44.18623651037433
27.0,0.021732191780820396,26,2.5,5.0,45.255461040264976,71.98607428753148
