available_capacity_MW,probability
0.0,8.619111907261397e-21
0.9629,2.846065088970753e-20
5.0,1.7065841576377557e-18
5.9629,5.635208876162088e-18
10.0,8.489825228652474e-17
10.9629,2.8033741126361915e-16
14.7082,7.871463663845865e-21
15.0,8.362262372425003e-17
15.9629,2.7612523493194234e-16
19.7082,1.5585498054414805e-18
20.0,4.141919973109067e-15
20.9629,1.3676784758816207e-14
24.7082,7.753391708888176e-17
25.0,5.148195542207231e-16
25.9629,1.6999546776422301e-15
27.0,6.11273539185225e-22
29.7082,7.636894046663255e-17
30.0,2.5610972773101628e-14
30.9629,8.456845239785844e-14
32.0,1.210321607586745e-19
34.7082,3.782637111303571e-15
35.0,2.522615815681543e-14
35.9629,8.329777920446929e-14
37.0,6.021044360974465e-18
39.7082,4.701625246415134e-16
40.0,1.2490071020598012e-12
40.9629,4.124271209489847e-12
42.0,5.93057587717505e-18
44.7082,2.338939832181266e-14
45.0,6.183011289260177e-14
45.9629,2.041654959863112e-13
47.0,2.9374790677115255e-16
49.7082,2.3037963707434155e-14
50.0,3.0758919797582204e-12
50.9629,1.0156717855884677e-11
52.0,3.651136849553348e-17
54.7082,1.140664389270353e-12
55.0,3.029675531737487e-12
55.9629,1.000410930332925e-11
57.0,1.816348382227297e-15
59.7082,5.646677896774666e-14
60.0,1.4998769376111535e-10
60.9629,4.952653400742076e-10
62.0,1.7890570562811405e-15
64.7082,2.8090796607692156e-12
65.0,3.713478141733751e-12
65.9629,1.2262052763162816e-11
67.0,8.858047092999897e-14
69.7082,2.7668721694195863e-12
70.0,1.8473616008119918e-10
70.9629,6.100061601876451e-10
72.0,4.3850355283403644e-15
74.7082,1.3697730046526187e-10
75.0,1.819604289449538e-10
75.9629,6.008405853949781e-10
77.0,2.181444442128919e-13
79.7082,3.3913596404888394e-12
80.0,9.00761765349871e-09
80.9629,2.97435123412441e-08
82.0,2.1486674088867784e-13
84.7082,1.6871157807482358e-10
85.0,1.141313032522507e-10
85.9629,3.768661101514501e-10
87.0,1.0637233787665004e-11
89.7082,1.6617662238395316e-10
90.0,5.677744126437725e-09
90.9629,1.8748137297938305e-08
92.0,2.6336250773959475e-13
94.7082,8.226269228224946e-09
95.0,5.592433859360283e-09
95.9629,1.8466439397421055e-08
97.0,1.310161970320711e-11
99.7082,1.0423120341442611e-10
100.0,2.7683383560190014e-07
100.9629,9.141163537842693e-07
102.0,1.2904762879240142e-11
104.7082,5.185239159758068e-09
105.0,1.655193586089192e-09
105.9629,5.4655151615887814e-09
107.0,6.38826642689567e-10
109.7082,5.107328967306879e-09
110.0,8.234170112615425e-08
110.9629,2.718955774830783e-07
112.0,8.09427310162312e-12
114.7082,2.5282041831103356e-07
115.0,8.11044857183704e-08
115.9629,2.6781024291785024e-07
117.0,4.026696467221603e-10
119.7082,1.5116170099329325e-09
120.0,4.014734849072502e-06
120.9629,1.3256814412391158e-05
122.0,3.966193819795328e-10
124.7082,7.519912902949185e-08
125.0,1.2435590607359489e-08
125.9629,4.106281559997046e-08
127.0,1.963325227417333e-08
129.7082,7.406923348671368e-08
130.0,6.186392297095503e-07
130.9629,2.0427713821197424e-06
132.0,1.1738750491834636e-10
134.7082,3.6664844156189823e-06
135.0,6.093439397606149e-07
135.9629,2.012077964398552e-06
137.0,5.839731936594503e-09
139.7082,1.1356889277864726e-08
140.0,3.0163313402115182e-05
140.9629,9.96004625129879e-05
142.0,5.75198774099897e-09
144.7082,5.649765625604422e-07
145.0,1.5610002502119283e-07
145.9629,5.154485014006958e-07
147.0,2.8472784742651815e-07
149.7082,5.564875746153716e-07
150.0,7.765582052821965e-06
150.9629,2.564226130705481e-05
152.0,8.819409196920919e-10
154.7082,2.754685494057874e-05
155.0,7.648901226038447e-06
155.9629,2.525697656863408e-05
157.0,4.3874333631146996e-08
159.7082,1.4255942933570327e-07
160.0,0.0003786229064725176
160.9629,0.0012502279209163428
162.0,4.32151050649125e-08
164.7082,7.091971610892309e-06
165.0,4.54565155696094e-07
165.9629,1.5009922532729594e-06
167.0,2.1392036134639895e-06
169.7082,6.985412037449457e-06
170.0,2.2613468604073366e-05
170.9629,7.467057421585179e-05
172.0,1.1070724662620727e-08
174.7082,0.00034577999249403975
175.0,2.2273692629108607e-05
175.9629,7.354862041037502e-05
177.0,5.507405955899705e-07
179.7082,4.1513477773711047e-07
180.0,0.0011025750705878563
180.9629,0.0036407468079465016
182.0,5.424655084684155e-07
184.7082,2.0651906872275448e-05
185.0,5.402518502195786e-06
185.9629,1.783933132213325e-05
187.0,2.6852205487791357e-05
189.7082,2.0341604109118416e-05
190.0,0.0002687616527607499
190.9629,0.0008874616844596591
192.0,3.223808374950332e-08
194.7082,0.001006934322024854
195.0,0.0002647234066075934
195.9629,0.0008741272347845289
197.0,1.6037632572353928e-06
199.7082,4.933887451613455e-06
200.0,0.013103836340798336
200.9629,0.04326938963364983
202.0,1.579666103725663e-06
204.7082,0.00024544844140602284
205.0,5.487317048314006e-06
205.9629,1.8119339499656988e-05
207.0,7.819540723770281e-05
209.7082,0.0002417604851290592
210.0,0.00027298016629238864
210.9629,0.0009013913842001077
212.0,3.831504499400537e-07
214.7082,0.011967169323637474
215.0,0.00026887853536738623
215.9629,0.0008878476354831921
217.0,1.906076733287641e-05
219.7082,5.011330311353353e-06
220.0,0.01330980768794833
220.9629,0.04394951522751526
222.0,1.877437204706263e-05
