available_capacity_MW,probability
0.0,1.778330901113015e-20
0.142,2.130036472602749e-21
0.3596,2.107322838184939e-21
0.6332,2.062166031678092e-21
0.9629,1.9966153253424744e-21
1.3486,1.9162932148972683e-21
1.7904,1.739473266267132e-21
2.2882,1.5915147688356216e-21
2.842,1.4509107662671274e-21
3.4519,1.3322870291095917e-21
4.1179,1.2263490154109632e-21
4.8398,1.113691053082197e-21
5.0,3.521095184203768e-18
5.142,4.217472215753441e-19
5.3596,4.172499219606177e-19
5.6179,1.0140724957191807e-21
5.6332,4.0830887427226197e-19
5.9629,3.9532983441780977e-19
6.3486,3.7942605654965895e-19
6.4519,9.22588613013699e-22
6.7904,3.444157067208919e-19
7.2882,3.15119924229453e-19
7.342,8.354893407534265e-22
7.842,2.8728033172089114e-19
8.2882,7.515523972602743e-22
8.4519,2.6379283176369907e-19
9.1179,2.428171050513706e-19
9.2903,6.763378638698624e-22
9.8398,2.2051082851027486e-19
10.0,1.7516559375963194e-16
10.142,2.098085925513707e-17
10.3486,6.043168664383589e-22
10.3596,2.0757129956121645e-17
10.6179,2.0078635415239767e-19
10.6332,2.0312335412029202e-17
10.9629,1.966666095462337e-17
11.3486,1.887548816673809e-17
11.4519,1.8267254537671232e-19
11.4628,5.301269691780803e-22
11.7904,1.7133811672731246e-17
12.2882,1.567642047303087e-17
12.342,1.6542688946917837e-19
12.6332,4.740736515410941e-22
12.842,1.4291471047731202e-17
13.2882,1.4880737465753426e-19
13.4519,1.3123027236729476e-17
13.8595,4.1424946489725994e-22
14.1179,1.2079537801797985e-17
14.2903,1.3391489704623272e-19
14.8398,1.0969856872859636e-17
15.0,1.7253366402598464e-16
15.1419,3.6423473886986107e-22
15.142,2.066561385719186e-17
15.3486,1.1965473955479501e-19
15.3596,2.0445246176070268e-17
15.6179,9.988614082833928e-18
15.6332,2.000713483934084e-17
15.9629,1.937116188647268e-17
16.3486,1.859187677093329e-17
16.4519,9.087497838184934e-18
16.4628,1.0496513989725983e-19
16.4803,3.195512414383575e-22
16.7904,1.6876369629323705e-17
17.2882,1.5440876287243193e-17
17.342,8.22957000642125e-18
17.6332,9.386658300513659e-20
17.842,1.4076736254323665e-17
17.8748,2.820089897260252e-22
18.2882,7.4027911130137e-18
18.4519,1.2925848756421252e-17
18.8595,8.202139404965743e-20
19.1179,1.1898038147517158e-17
19.2903,6.661927959118144e-18
19.3254,2.4061785102739827e-22
19.8398,1.0805030597003468e-17
20.0,8.545781000837931e-15
20.1419,7.211847829623247e-20
20.142,1.0235904469335656e-15
20.3486,5.952521134417833e-18
20.3596,1.012675394771664e-15
20.6179,9.838531353467486e-18
20.6332,9.90975261300261e-16
20.8319,2.1132470034246315e-22
20.9629,9.594748256702092e-16
21.3486,9.208759819476919e-16
21.4519,8.950954723458904e-18
21.4628,5.221750646404089e-18
21.4803,6.327114580479476e-20
21.7904,8.359050377535139e-16
22.2882,7.648034831738035e-16
22.342,8.10591758398974e-18
22.3945,1.8282733304794552e-22
22.6332,4.669625467679777e-18
22.842,6.972361360035119e-16
22.8748,5.583777996575297e-20
23.2882,7.291561358219177e-18
23.4519,6.402314200299667e-16
23.8595,4.08035722923801e-18
24.0132,1.5926070205479354e-22
24.1179,5.893228369217484e-16
24.2903,6.561829955265402e-18
24.3254,4.7642334503424833e-20
24.8398,5.3518497801935145e-16
25.0,1.0621970472348036e-15
25.1419,3.5877121778681315e-18
25.142,1.2722707850856215e-16
25.3486,5.863082238184954e-18
25.3596,1.2587039312478636e-16
25.6179,4.873132138661825e-16
25.6332,1.2317317707213238e-16
25.6879,1.3972499999999763e-22
25.8319,4.1842290667807683e-20
25.9629,1.1925783338270595e-16
26.3486,1.144601937258138e-16
26.4519,4.4335057304280823e-16
26.4628,5.143291854965732e-18
26.4803,3.1475797281678207e-18
26.7904,1.0389873819413575e-16
27.0,9.901729880136295e-22
27.2882,9.506117714255165e-17
27.342,4.014949596919527e-16
27.3945,3.61998119434932e-20
27.6332,4.599462567251693e-18
27.842,8.666290006913549e-17
27.8748,2.7777885488013474e-18
28.2882,3.611590055383561e-16
28.4519,7.95775042487159e-17
28.8595,4.019048308433214e-18
29.0132,3.153361900684911e-20
29.1179,7.324982669049681e-17
29.2903,3.2501461137457153e-16
29.3254,2.3700858326198726e-18
29.8398,6.65207666005996e-17
30.0,5.284162078415564e-14
30.1419,3.533805436515391e-18
30.142,6.329225875299683e-15
30.3486,2.9040487304486416e-16
30.3596,6.261734203430029e-15
30.6179,6.057055016930664e-17
30.6332,6.127554515962142e-15
30.6879,2.7665549999999516e-20
30.8319,2.081548298373262e-18
30.9629,5.932776054644716e-15
31.3486,5.69410559696599e-15
31.4519,5.510621785530823e-17
31.4628,2.5475286845650575e-16
31.4803,3.1002861444349427e-18
31.7904,5.168699854607259e-15
32.0,1.9605425162669855e-19
32.2882,4.729053509364313e-15
32.342,4.990377832320215e-17
32.3945,1.800849230522263e-18
32.6332,2.278164092971737e-16
32.842,4.311260432732246e-15
32.8748,2.736051218321895e-18
33.2882,4.489022468835617e-17
33.4519,3.9587798830800585e-15
33.8595,1.990678565226881e-16
34.0132,1.5687179152397161e-18
34.1179,3.643993903542392e-15
34.2903,4.0397660608946874e-17
34.3254,2.334474390667817e-18
34.8398,3.3092401566459903e-15
35.0,5.204765531450538e-14
35.1419,1.750332465870709e-16
35.142,6.2341268469195455e-15
35.3486,3.609584643236316e-17
35.3596,6.167649263114532e-15
35.6179,3.0132319149882344e-15
35.6332,6.0354856765344865e-15
35.6879,1.3762912499999763e-18
35.8319,2.0502722427225766e-18
35.9629,5.8436338357525914e-15
36.3486,5.6085494925648764e-15
36.4519,2.741395181185788e-15
36.4628,3.1664483869006724e-17
36.4803,1.5356056210736359e-16
36.7904,5.091038171512652e-15
37.0,9.75320393193425e-18
37.2882,4.657997679985031e-15
37.342,2.482586951937077e-15
37.3945,1.7737907852311667e-18
37.6332,2.8316419206549546e-17
37.842,4.246482103387639e-15
37.8748,1.355196080188345e-16
38.2882,2.2331753190924662e-15
38.4519,3.899297708187079e-15
38.8595,2.474312053831333e-17
