step_index,z_midpoint,probability
1,-4.9,2.245184070654961e-06
2,-4.800000000000001,3.5390189588290067e-06
3,-4.7,4.376206239412212e-06
4,-4.6000000000000005,4.908961781601526e-06
5,-4.5,7.57273949254809e-06
6,-4.4,9.323221988312972e-06
7,-4.3,1.0845380680282438e-05
8,-4.2,1.7618986859546558e-05
9,-4.1000000000000005,2.1500491524068694e-05
10,-4.0,2.9644040526105332e-05
11,-3.9,3.58468371958809e-05
12,-3.8,5.0535668573386245e-05
13,-3.7,6.0429700071187775e-05
14,-3.6,7.903809008051447e-05
15,-3.5,0.00010381122279226578
16,-3.4000000000000004,0.00013417828869710362
17,-3.3000000000000003,0.00017055788143509912
18,-3.2,0.0002279813180896463
19,-3.1,0.0002954129481439166
20,-3.0,0.0003733855271400721
21,-2.9000000000000004,0.000490591746421727
22,-2.8000000000000003,0.0006230576065903883
23,-2.7,0.0007877932310287235
24,-2.6,0.0010105231016311863
25,-2.5,0.0013047944307561414
26,-2.4000000000000004,0.001664823015374243
27,-2.3000000000000003,0.002099741807637184
28,-2.2,0.0026676972695783667
29,-2.1,0.0033564360237272645
30,-2.0,0.004224941719397691
31,-1.9,0.005248935925452903
32,-1.8,0.006504031874916299
33,-1.7000000000000002,0.00801408940528461
34,-1.6,0.009797146097057613
35,-1.5,0.011849967363014918
36,-1.4,0.014200789246892609
37,-1.3,0.016751166135287467
38,-1.2000000000000002,0.01957610239774628
39,-1.1,0.02265904455849391
40,-1.0,0.025730532475084507
41,-0.9,0.028966223260571276
42,-0.8,0.0319464958175456
43,-0.7000000000000001,0.03472888774456388
44,-0.6000000000000001,0.03728912061048919
45,-0.5,0.03927329251943872
46,-0.4,0.04097917576552886
47,-0.3,0.04208905777577843
48,-0.2,0.04255499055139032
49,-0.1,0.042519295930063566
50,0.0,0.0418836805142645
51,0.1,0.0408170278108668
52,0.2,0.039376418770819654
53,0.3,0.03752615877279619
54,0.4,0.03551945891520548
55,0.5,0.033168751193229734
56,0.6000000000000001,0.030752095945924464
57,0.7000000000000001,0.02832912374004748
58,0.8,0.02589774160739736
59,0.9,0.023533258349259244
60,1.0,0.02118723126526131
61,1.1,0.01898158526663023
62,1.2000000000000002,0.016855243735850862
63,1.3,0.014959166761199063
64,1.4,0.013121807058090048
65,1.5,0.011444730665245376
66,1.6,0.00995054163924087
67,1.7000000000000002,0.008669302614242817
68,1.8,0.00743357613413475
69,1.9,0.006411484626444574
70,2.0,0.005460782361407714
71,2.1,0.004673445777986515
72,2.2,0.0039312792537495355
73,2.3000000000000003,0.003346009236687236
74,2.4000000000000004,0.002802446367784951
75,2.5,0.0023459890300306153
76,2.6,0.0019613395285699026
77,2.7,0.001643855279392329
78,2.8000000000000003,0.0013653002387620048
79,2.9000000000000004,0.00112597883841708
80,3.0,0.0009223901133661329
81,3.1,0.0007705167298749249
82,3.2,0.0006257213843012986
83,3.3000000000000003,0.0005206924345554339
84,3.4000000000000004,0.0004204202307219089
85,3.5,0.0003351032360370406
86,3.6,0.00028266486909864566
87,3.7,0.00022265376266782563
88,3.8,0.00017752175745092472
89,3.9,0.00014833436453236715
90,4.0,0.00011625487009908693
91,4.1000000000000005,9.665707694006103e-05
92,4.2,7.671679807526104e-05
93,4.3,6.278904604374045e-05
94,4.4,5.0421506671488535e-05
95,4.5,3.988055772959999e-05
96,4.6000000000000005,3.1204253185374035e-05
97,4.7,2.637139933837098e-05
98,4.800000000000001,1.982611696290228e-05
99,4.9,1.4917155181300757e-05
100,5.0,1.2633917143346558e-05
