step_index,z_midpoint,probability,source_100step_count,source_z_min,source_z_max
1,-4.0,0.00044123575083459697,15,-4.9,-3.5
2,-3.0,0.005418276079934004,10,-3.4000000000000004,-2.5
3,-2.0,0.05542781050144109,10,-2.4000000000000004,-1.5
4,-1.0,0.27112165476611344,10,-1.4,-0.5
5,0.0,0.39643401599994355,10,-0.4,0.5
6,1.0,0.20506198439490544,10,0.6000000000000001,1.5
7,2.0,0.05502485704170958,10,1.6,2.5
8,3.0,0.009691318013998055,10,2.6,3.5
9,4.0,0.0012738946093090013,10,3.6,4.5
10,5.0,0.00010495284181129462,5,4.6000000000000005,5.0
