site,wtg_count,wind_capacity_MW,wind_penetration_label,step_number,peak_load_pu,LOLE_hours_per_year
Toronto,18,27.0,10%,100,0.92,0.19462446802165273
Toronto,18,27.0,10%,100,0.95,0.3468123093392279
Toronto,18,27.0,10%,100,0.98,0.5881172989508124
Toronto,18,27.0,10%,100,1.0,0.8574162459255453
Toronto,18,27.0,10%,100,1.02,1.145324428217774
Toronto,18,27.0,10%,100,1.05,1.8821355774646704
Toronto,18,27.0,10%,10,0.92,0.19987329281000163
Toronto,18,27.0,10%,10,0.95,0.35460437874325273
Toronto,18,27.0,10%,10,0.98,0.5964894651122398
Toronto,18,27.0,10%,10,1.0,0.8489712204332507
Toronto,18,27.0,10%,10,1.02,1.172032229790861
Toronto,18,27.0,10%,10,1.05,1.9111308094558026
Toronto,18,27.0,10%,6,0.92,0.20263109569293547
Toronto,18,27.0,10%,6,0.95,0.3594050113460612
Toronto,18,27.0,10%,6,0.98,0.5943923622424879
Toronto,18,27.0,10%,6,1.0,0.8436185475936437
Toronto,18,27.0,10%,6,1.02,1.1711316176103355
Toronto,18,27.0,10%,6,1.05,1.936986037699448
Toronto,18,27.0,10%,5,0.92,0.20778178986269535
Toronto,18,27.0,10%,5,0.95,0.3696574079033113
Toronto,18,27.0,10%,5,0.98,0.6095848832402166
Toronto,18,27.0,10%,5,1.0,0.8569352125077291
Toronto,18,27.0,10%,5,1.02,1.1995491411753145
Toronto,18,27.0,10%,5,1.05,1.980190421841797
Toronto,18,27.0,10%,2,0.92,0.23316761483218845
Toronto,18,27.0,10%,2,0.95,0.41607653014309964
Toronto,18,27.0,10%,2,0.98,0.6801235715438764
Toronto,18,27.0,10%,2,1.0,0.9470101488406748
Toronto,18,27.0,10%,2,1.02,1.344745089438054
Toronto,18,27.0,10%,2,1.05,2.219490356357861
