site,wtg_count,wind_capacity_MW,wind_penetration_label,step_number,peak_load_pu,LOLE_hours_per_year
Swift Current,18,27.0,10pct_reference,100,0.92,0.18418964415920897
Swift Current,18,27.0,10pct_reference,100,0.95,0.32862068415973594
Swift Current,18,27.0,10pct_reference,100,0.98,0.5593476717385487
Swift Current,18,27.0,10pct_reference,100,1.0,0.8074873891678929
Swift Current,18,27.0,10pct_reference,100,1.02,1.0937544713561564
Swift Current,18,27.0,10pct_reference,100,1.05,1.7903888587731556
Swift Current,18,27.0,10pct_reference,10,0.92,0.18327391142332825
Swift Current,18,27.0,10pct_reference,10,0.95,0.3333753748723515
Swift Current,18,27.0,10pct_reference,10,0.98,0.5605523466749885
Swift Current,18,27.0,10pct_reference,10,1.0,0.8270337766445449
Swift Current,18,27.0,10pct_reference,10,1.02,1.085152194444973
Swift Current,18,27.0,10pct_reference,10,1.05,1.796578226827729
Swift Current,18,27.0,10pct_reference,6,0.92,0.18090684573687424
Swift Current,18,27.0,10pct_reference,6,0.95,0.33580533562374737
Swift Current,18,27.0,10pct_reference,6,0.98,0.5530522457545846
Swift Current,18,27.0,10pct_reference,6,1.0,0.8273347346918641
Swift Current,18,27.0,10pct_reference,6,1.02,1.073335972064465
Swift Current,18,27.0,10pct_reference,6,1.05,1.7953526603719143
Swift Current,18,27.0,10pct_reference,5,0.92,0.18475015811496345
Swift Current,18,27.0,10pct_reference,5,0.95,0.3448797493207103
Swift Current,18,27.0,10pct_reference,5,0.98,0.5664060667712129
Swift Current,18,27.0,10pct_reference,5,1.0,0.8444557389450137
Swift Current,18,27.0,10pct_reference,5,1.02,1.0889209474201718
Swift Current,18,27.0,10pct_reference,5,1.05,1.8343107522514623
Swift Current,18,27.0,10pct_reference,2,0.92,0.20106764402949445
Swift Current,18,27.0,10pct_reference,2,0.95,0.3821396914912147
Swift Current,18,27.0,10pct_reference,2,0.98,0.6204349143121142
Swift Current,18,27.0,10pct_reference,2,1.0,0.9298823178493276
Swift Current,18,27.0,10pct_reference,2,1.02,1.1951625018995877
Swift Current,18,27.0,10pct_reference,2,1.05,2.0157023537162857
