site,wtg_count,wind_capacity_MW,wind_penetration_label,step_number,peak_load_pu,LOLE_hours_per_year
Swift Current,28,42.0,15pct,100,0.92,0.16821765410213785
Swift Current,28,42.0,15pct,100,0.95,0.29963369966650244
Swift Current,28,42.0,15pct,100,0.98,0.5108367799435379
Swift Current,28,42.0,15pct,100,1.0,0.7438232743001114
Swift Current,28,42.0,15pct,100,1.02,1.002784231148302
Swift Current,28,42.0,15pct,100,1.05,1.631922825383764
Swift Current,28,42.0,15pct,10,0.92,0.166781938567008
Swift Current,28,42.0,15pct,10,0.95,0.299233929567288
Swift Current,28,42.0,15pct,10,0.98,0.522384569905876
Swift Current,28,42.0,15pct,10,1.0,0.7419673456052278
Swift Current,28,42.0,15pct,10,1.02,1.0224525088179772
Swift Current,28,42.0,15pct,10,1.05,1.6178110078926453
Swift Current,28,42.0,15pct,6,0.92,0.1648702695445806
Swift Current,28,42.0,15pct,6,0.95,0.29611343592526024
Swift Current,28,42.0,15pct,6,0.98,0.5265684732158414
Swift Current,28,42.0,15pct,6,1.0,0.7285204974464264
Swift Current,28,42.0,15pct,6,1.02,1.0327551916044813
Swift Current,28,42.0,15pct,6,1.05,1.6009808258988532
Swift Current,28,42.0,15pct,5,0.92,0.16913643245913326
Swift Current,28,42.0,15pct,5,0.95,0.30435197459509994
Swift Current,28,42.0,15pct,5,0.98,0.5442629815334128
Swift Current,28,42.0,15pct,5,1.0,0.7479944403774766
Swift Current,28,42.0,15pct,5,1.02,1.068736946504494
Swift Current,28,42.0,15pct,5,1.05,1.6417308433390583
Swift Current,28,42.0,15pct,2,0.92,0.18348096054239296
Swift Current,28,42.0,15pct,2,0.95,0.3319611705576542
Swift Current,28,42.0,15pct,2,0.98,0.6014047623651592
Swift Current,28,42.0,15pct,2,1.0,0.8116323326189842
Swift Current,28,42.0,15pct,2,1.02,1.1912502523847277
Swift Current,28,42.0,15pct,2,1.05,1.791039353351764
