site,wtg_count,wind_capacity_MW,wind_penetration_label,step_number,peak_load_pu,LOLE_hours_per_year
Swift Current,2,3.0,1pct_optional,100,0.92,0.23148645078134178
Swift Current,2,3.0,1pct_optional,100,0.95,0.41017960424387184
Swift Current,2,3.0,1pct_optional,100,0.98,0.6900565229275865
Swift Current,2,3.0,1pct_optional,100,1.0,1.0058913970698677
Swift Current,2,3.0,1pct_optional,100,1.02,1.3406075019117538
Swift Current,2,3.0,1pct_optional,100,1.05,2.1945896094116426
Swift Current,2,3.0,1pct_optional,10,0.92,0.23078307270004736
Swift Current,2,3.0,1pct_optional,10,0.95,0.40833050224077894
Swift Current,2,3.0,1pct_optional,10,0.98,0.6790921268812611
Swift Current,2,3.0,1pct_optional,10,1.0,1.0083639979693249
Swift Current,2,3.0,1pct_optional,10,1.02,1.3488837011172539
Swift Current,2,3.0,1pct_optional,10,1.05,2.1841363254250896
Swift Current,2,3.0,1pct_optional,6,0.92,0.23078254826774666
Swift Current,2,3.0,1pct_optional,6,0.95,0.413089802764543
Swift Current,2,3.0,1pct_optional,6,0.98,0.6792006461156131
Swift Current,2,3.0,1pct_optional,6,1.0,1.0205673449045638
Swift Current,2,3.0,1pct_optional,6,1.02,1.3320399994739378
Swift Current,2,3.0,1pct_optional,6,1.05,2.2036606052170176
Swift Current,2,3.0,1pct_optional,5,0.92,0.23059475541620278
Swift Current,2,3.0,1pct_optional,5,0.95,0.4084124575272039
Swift Current,2,3.0,1pct_optional,5,0.98,0.676700297416907
Swift Current,2,3.0,1pct_optional,5,1.0,1.0114325859484259
Swift Current,2,3.0,1pct_optional,5,1.02,1.339598234413875
Swift Current,2,3.0,1pct_optional,5,1.05,2.190418995169766
Swift Current,2,3.0,1pct_optional,2,0.92,0.23726649935453492
Swift Current,2,3.0,1pct_optional,2,0.95,0.41912287056483366
Swift Current,2,3.0,1pct_optional,2,0.98,0.6878620595944208
Swift Current,2,3.0,1pct_optional,2,1.0,1.0375798495635316
Swift Current,2,3.0,1pct_optional,2,1.02,1.3591522984110485
Swift Current,2,3.0,1pct_optional,2,1.05,2.246656978469926
