site,wtg_count,wind_capacity_MW,wind_penetration_label,step_number,peak_load_pu,LOLE_hours_per_year
Swift Current,2,3.0,1pct_optional,100,0.92,0.23148645078134178
Swift Current,2,3.0,1pct_optional,100,0.95,0.41017960424387184
Swift Current,2,3.0,1pct_optional,100,0.98,0.6900565229275865
Swift Current,2,3.0,1pct_optional,100,1.0,1.0058913970698677
Swift Current,2,3.0,1pct_optional,100,1.02,1.3406075019117538
Swift Current,2,3.0,1pct_optional,100,1.05,2.1945896094116426
Swift Current,2,3.0,1pct_optional,10,0.92,0.23078307270004736
Swift Current,2,3.0,1pct_optional,10,0.95,0.40833050224077894
Swift Current,2,3.0,1pct_optional,10,0.98,0.6790921268812611
Swift Current,2,3.0,1pct_optional,10,1.0,1.0083639979693249
Swift Current,2,3.0,1pct_optional,10,1.02,1.3488837011172539
Swift Current,2,3.0,1pct_optional,10,1.05,2.1841363254250896
Swift Current,2,3.0,1pct_optional,6,0.92,0.23078254826774666
Swift Current,2,3.0,1pct_optional,6,0.95,0.413089802764543
Swift Current,2,3.0,1pct_optional,6,0.98,0.6792006461156131
Swift Current,2,3.0,1pct_optional,6,1.0,1.0205673449045638
Swift Current,2,3.0,1pct_optional,6,1.02,1.3320399994739378
Swift Current,2,3.0,1pct_optional,6,1.05,2.2036606052170176
Swift Current,2,3.0,1pct_optional,5,0.92,0.23059475541620278
Swift Current,2,3.0,1pct_optional,5,0.95,0.4084124575272039
Swift Current,2,3.0,1pct_optional,5,0.98,0.676700297416907
Swift Current,2,3.0,1pct_optional,5,1.0,1.0114325859484259
Swift Current,2,3.0,1pct_optional,5,1.02,1.339598234413875
Swift Current,2,3.0,1pct_optional,5,1.05,2.190418995169766
Swift Current,2,3.0,1pct_optional,2,0.92,0.23726649935453492
Swift Current,2,3.0,1pct_optional,2,0.95,0.41912287056483366
Swift Current,2,3.0,1pct_optional,2,0.98,0.6878620595944208
Swift Current,2,3.0,1pct_optional,2,1.0,1.0375798495635316
Swift Current,2,3.0,1pct_optional,2,1.02,1.3591522984110485
Swift Current,2,3.0,1pct_optional,2,1.05,2.246656978469926
Swift Current,18,27.0,10pct_reference,100,0.92,0.18418964415920897
Swift Current,18,27.0,10pct_reference,100,0.95,0.32862068415973594
Swift Current,18,27.0,10pct_reference,100,0.98,0.5593476717385487
Swift Current,18,27.0,10pct_reference,100,1.0,0.8074873891678929
Swift Current,18,27.0,10pct_reference,100,1.02,1.0937544713561564
Swift Current,18,27.0,10pct_reference,100,1.05,1.7903888587731556
Swift Current,18,27.0,10pct_reference,10,0.92,0.18327391142332825
Swift Current,18,27.0,10pct_reference,10,0.95,0.3333753748723515
Swift Current,18,27.0,10pct_reference,10,0.98,0.5605523466749885
Swift Current,18,27.0,10pct_reference,10,1.0,0.8270337766445449
Swift Current,18,27.0,10pct_reference,10,1.02,1.085152194444973
Swift Current,18,27.0,10pct_reference,10,1.05,1.796578226827729
Swift Current,18,27.0,10pct_reference,6,0.92,0.18090684573687424
Swift Current,18,27.0,10pct_reference,6,0.95,0.33580533562374737
Swift Current,18,27.0,10pct_reference,6,0.98,0.5530522457545846
Swift Current,18,27.0,10pct_reference,6,1.0,0.8273347346918641
Swift Current,18,27.0,10pct_reference,6,1.02,1.073335972064465
Swift Current,18,27.0,10pct_reference,6,1.05,1.7953526603719143
Swift Current,18,27.0,10pct_reference,5,0.92,0.18475015811496345
Swift Current,18,27.0,10pct_reference,5,0.95,0.3448797493207103
Swift Current,18,27.0,10pct_reference,5,0.98,0.5664060667712129
Swift Current,18,27.0,10pct_reference,5,1.0,0.8444557389450137
Swift Current,18,27.0,10pct_reference,5,1.02,1.0889209474201718
Swift Current,18,27.0,10pct_reference,5,1.05,1.8343107522514623
Swift Current,18,27.0,10pct_reference,2,0.92,0.20106764402949445
Swift Current,18,27.0,10pct_reference,2,0.95,0.3821396914912147
Swift Current,18,27.0,10pct_reference,2,0.98,0.6204349143121142
Swift Current,18,27.0,10pct_reference,2,1.0,0.9298823178493276
Swift Current,18,27.0,10pct_reference,2,1.02,1.1951625018995877
Swift Current,18,27.0,10pct_reference,2,1.05,2.0157023537162857
Swift Current,28,42.0,15pct,100,0.92,0.16821765410213785
Swift Current,28,42.0,15pct,100,0.95,0.29963369966650244
Swift Current,28,42.0,15pct,100,0.98,0.5108367799435379
Swift Current,28,42.0,15pct,100,1.0,0.7438232743001114
Swift Current,28,42.0,15pct,100,1.02,1.002784231148302
Swift Current,28,42.0,15pct,100,1.05,1.631922825383764
Swift Current,28,42.0,15pct,10,0.92,0.166781938567008
Swift Current,28,42.0,15pct,10,0.95,0.299233929567288
Swift Current,28,42.0,15pct,10,0.98,0.522384569905876
Swift Current,28,42.0,15pct,10,1.0,0.7419673456052278
Swift Current,28,42.0,15pct,10,1.02,1.0224525088179772
Swift Current,28,42.0,15pct,10,1.05,1.6178110078926453
Swift Current,28,42.0,15pct,6,0.92,0.1648702695445806
Swift Current,28,42.0,15pct,6,0.95,0.29611343592526024
Swift Current,28,42.0,15pct,6,0.98,0.5265684732158414
Swift Current,28,42.0,15pct,6,1.0,0.7285204974464264
Swift Current,28,42.0,15pct,6,1.02,1.0327551916044813
Swift Current,28,42.0,15pct,6,1.05,1.6009808258988532
Swift Current,28,42.0,15pct,5,0.92,0.16913643245913326
Swift Current,28,42.0,15pct,5,0.95,0.30435197459509994
Swift Current,28,42.0,15pct,5,0.98,0.5442629815334128
Swift Current,28,42.0,15pct,5,1.0,0.7479944403774766
Swift Current,28,42.0,15pct,5,1.02,1.068736946504494
Swift Current,28,42.0,15pct,5,1.05,1.6417308433390583
Swift Current,28,42.0,15pct,2,0.92,0.18348096054239296
Swift Current,28,42.0,15pct,2,0.95,0.3319611705576542
Swift Current,28,42.0,15pct,2,0.98,0.6014047623651592
Swift Current,28,42.0,15pct,2,1.0,0.8116323326189842
Swift Current,28,42.0,15pct,2,1.02,1.1912502523847277
Swift Current,28,42.0,15pct,2,1.05,1.791039353351764
