"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 00:00","1996","02","01","00:00","","-31.7","","-36.0","","66","","1","","11","","8.0","","92.22","","","","-42","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 01:00","1996","02","01","01:00","","-34.6","","-38.9","","65","","34","","9","","9.7","","92.32","","","","-44","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 02:00","1996","02","01","02:00","","-35.7","","-39.8","","66","","34","","13","","15.0","","92.41","","","","-48","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 03:00","1996","02","01","03:00","","-36.7","","-40.8","","66","","32","","20","","15.0","","92.54","","","","-52","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 04:00","1996","02","01","04:00","","-37.3","","-41.7","","63","","35","","22","","15.0","","92.69","","","","-53","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 05:00","1996","02","01","05:00","","-38.6","","-42.8","","64","","33","","22","","15.0","","92.79","","","","-55","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 06:00","1996","02","01","06:00","","-38.7","","-42.9","","64","","32","","20","","15.0","","92.94","","","","-54","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 07:00","1996","02","01","07:00","","-39.6","","-43.9","","64","","31","","24","","8.0","","92.94","","","","-57","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 08:00","1996","02","01","08:00","","-39.9","","-44.2","","63","","32","","28","","6.4","","93.04","","","","-58","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 09:00","1996","02","01","09:00","","-39.4","","-43.6","","64","","31","","28","","2.7","","93.07","","","","-57","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 10:00","1996","02","01","10:00","","-38.7","","-43.0","","64","","30","","32","","3.1","","93.16","","","","-57","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 11:00","1996","02","01","11:00","","-37.7","","-42.1","","63","","30","","33","","2.4","","93.19","","","","-56","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 12:00","1996","02","01","12:00","","-37.0","","-41.0","","66","","29","","35","","3.7","","93.19","","","","-56","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 13:00","1996","02","01","13:00","","-35.7","","-39.9","","65","","28","","33","","2.4","","93.19","","","","-54","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 14:00","1996","02","01","14:00","","-34.9","","-39.0","","66","","29","","43","","0.6","","93.07","","","","-55","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 15:00","1996","02","01","15:00","","-33.5","","-37.8","","65","","30","","37","","0.8","","93.07","","","","-52","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 16:00","1996","02","01","16:00","","-33.4","","-37.8","","65","","30","","41","","1.1","","93.04","","","","-52","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 17:00","1996","02","01","17:00","","-33.4","","-37.8","","65","","30","","43","","2.1","","93.04","","","","-53","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 18:00","1996","02","01","18:00","","-33.7","","-38.1","","64","","28","","32","","15.0","","93.07","","","","-51","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 19:00","1996","02","01","19:00","","-33.9","","-38.2","","65","","28","","33","","11.3","","93.04","","","","-51","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 20:00","1996","02","01","20:00","","-34.4","","-38.6","","66","","27","","33","","4.8","","93.00","","","","-52","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 21:00","1996","02","01","21:00","","-34.4","","-38.6","","66","","27","","28","","4.8","","93.00","","","","-51","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 22:00","1996","02","01","22:00","","-34.4","","-38.5","","66","","28","","26","","5.6","","93.00","","","","-50","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-01 23:00","1996","02","01","23:00","","-34.6","","-38.8","","66","","27","","30","","4.5","","92.94","","","","-52","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-02 00:00","1996","02","02","00:00","","-34.4","","-38.6","","66","","27","","33","","8.0","","92.94","","","","-52","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","1996-02-02 01:00","1996","02","02","01:00","","-33.8","","-38.1","","65","","27","","28","","9.7","","92.97","","","","-50","",""
