"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 00:00","2003","02","01","00:00","","-4.3","","-5.0","","95","","","","16","","15","","15.0","","90.79","","","","-10","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 01:00","2003","02","01","01:00","","-3.0","","-3.7","","95","","","","18","","15","","15.0","","90.75","","","","-8","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 02:00","2003","02","01","02:00","","-3.9","","-4.5","","96","","","","10","","11","","15.0","","90.78","","","","-8","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 03:00","2003","02","01","03:00","","-3.5","","-4.2","","95","","","","14","","9","","15.0","","90.80","","","","-7","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 04:00","2003","02","01","04:00","","-4.0","","-4.6","","96","","","","17","","15","","15.0","","90.74","","","","-9","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 05:00","2003","02","01","05:00","","-2.4","","-3.4","","93","","","","20","","17","","15.0","","90.74","","","","-8","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 06:00","2003","02","01","06:00","","-0.1","","-0.7","","96","","","","26","","20","","15.0","","90.73","","","","-5","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 07:00","2003","02","01","07:00","","0.4","","-0.4","","94","","","","26","","17","","15.0","","90.76","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 08:00","2003","02","01","08:00","","-0.5","","-1.0","","96","","","","27","","19","","15.0","","90.74","","","","-6","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 09:00","2003","02","01","09:00","","-0.8","","-1.2","","97","","","","28","","19","","15.0","","90.78","","","","-6","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 10:00","2003","02","01","10:00","","-0.9","","-1.3","","97","","","","28","","19","","15.0","","90.82","","","","-6","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 11:00","2003","02","01","11:00","","-0.3","","-0.9","","96","","","","30","","19","","15.0","","90.84","","","","-5","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 12:00","2003","02","01","12:00","","-1.3","","-1.8","","96","","","","27","","19","","15.0","","90.88","","","","-7","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 13:00","2003","02","01","13:00","","-0.1","","-1.6","","90","","","","29","","24","","15.0","","90.85","","","","-6","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 14:00","2003","02","01","14:00","","-1.0","","-2.5","","90","","","","29","","19","","15.0","","90.89","","","","-6","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 15:00","2003","02","01","15:00","","-2.1","","-3.4","","91","","","","30","","24","","12.9","","90.94","","","","-8","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 16:00","2003","02","01","16:00","","-2.0","","-3.4","","90","","","","30","","26","","12.9","","91.02","","","","-9","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 17:00","2003","02","01","17:00","","-3.3","","-5.1","","87","","","","29","","28","","12.9","","91.08","","","","-11","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 18:00","2003","02","01","18:00","","-4.9","","-6.6","","88","","","","29","","24","","12.9","","91.18","","","","-12","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 19:00","2003","02","01","19:00","","-6.4","","-7.6","","91","","","","29","","26","","11.3","","91.25","","","","-14","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 20:00","2003","02","01","20:00","","-8.0","","-8.8","","94","","","","29","","22","","9.7","","91.33","","","","-16","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 21:00","2003","02","01","21:00","","-6.7","","-7.5","","94","","","","30","","28","","8.0","","91.42","","","","-15","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 22:00","2003","02","01","22:00","","-6.5","","-6.6","","99","","","","31","","13","","0.6","","91.48","","","","-12","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-01 23:00","2003","02","01","23:00","","-6.0","","-6.2","","98","","","","31","","22","","0.2","","91.57","","","","-13","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 00:00","2003","02","02","00:00","","-5.6","","-5.8","","98","","","","31","","22","","0.6","","91.64","","","","-13","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 01:00","2003","02","02","01:00","","-5.7","","-6.0","","98","","","","31","","22","","2.7","","91.71","","","","-13","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 02:00","2003","02","02","02:00","","-6.7","","-6.9","","98","","","","31","","24","","1.4","","91.71","","","","-14","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 03:00","2003","02","02","03:00","","-7.0","","-7.4","","97","","","","32","","28","","2.7","","91.74","","","","-15","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 04:00","2003","02","02","04:00","","-7.2","","-7.7","","96","","","","32","","28","","0.5","","91.83","","","","-16","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 05:00","2003","02","02","05:00","","-7.9","","-8.3","","97","","","","32","","20","","0.3","","91.91","","","","-15","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 06:00","2003","02","02","06:00","","-8.2","","-8.7","","96","","","","32","","20","","6.4","","91.94","","","","-16","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 07:00","2003","02","02","07:00","","-8.6","","-9.1","","96","","","","31","","20","","8.0","","92.01","","","","-16","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 08:00","2003","02","02","08:00","","-8.6","","-9.1","","96","","","","31","","17","","9.7","","92.06","","","","-15","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 09:00","2003","02","02","09:00","","-8.4","","-8.7","","98","","","","29","","17","","8.0","","92.11","","","","-15","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 10:00","2003","02","02","10:00","","-7.7","","-8.2","","96","","","","30","","13","","3.4","","92.13","","","","-13","","Snow"
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 11:00","2003","02","02","11:00","","-7.1","","-7.5","","97","","","","30","","17","","0.8","","92.16","","","","-14","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 12:00","2003","02","02","12:00","","-6.9","","-7.1","","98","","","","30","","17","","6.4","","92.22","","","","-13","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 13:00","2003","02","02","13:00","","-6.5","","-6.8","","98","","","","31","","17","","9.7","","92.20","","","","-13","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 14:00","2003","02","02","14:00","","-6.0","","-6.3","","98","","","","30","","19","","15.0","","92.16","","","","-13","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 15:00","2003","02","02","15:00","","-5.6","","-5.9","","98","","","","31","","20","","15.0","","92.14","","","","-12","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 16:00","2003","02","02","16:00","","-5.4","","-5.7","","98","","","","30","","15","","15.0","","92.13","","","","-11","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 17:00","2003","02","02","17:00","","-4.9","","-5.3","","97","","","","29","","15","","15.0","","92.16","","","","-10","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 18:00","2003","02","02","18:00","","-5.5","","-5.9","","97","","","","","","0","","15.0","","92.15","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 19:00","2003","02","02","19:00","","-6.0","","-6.5","","96","","","","","","0","","15.0","","92.16","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 20:00","2003","02","02","20:00","","-10.0","","-10.0","","100","","","","","","0","","12.9","","92.16","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 21:00","2003","02","02","21:00","","-11.2","","-12.2","","92","","","","15","","9","","15.0","","92.14","","","","-16","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 22:00","2003","02","02","22:00","","-9.0","","-9.6","","95","","","","19","","13","","12.9","","92.08","","","","-15","","Snow"
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-02 23:00","2003","02","02","23:00","","-7.1","","-7.7","","95","","","","20","","11","","15.0","","92.07","","","","-12","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-03 00:00","2003","02","03","00:00","","-5.7","","-6.5","","94","","","","23","","15","","15.0","","92.02","","","","-11","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-03 01:00","2003","02","03","01:00","","-5.7","","-6.0","","98","","","","23","","15","","15.0","","91.99","","","","-11","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-03 02:00","2003","02","03","02:00","","-5.9","","-6.5","","96","","","","30","","17","","9.7","","91.97","","","","-12","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-03 03:00","2003","02","03","03:00","","-8.4","","-8.7","","98","","","","31","","17","","0.3","","92.00","","","","-15","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-03 04:00","2003","02","03","04:00","","-10.5","","-11.0","","96","","","","30","","17","","0.8","","92.04","","","","-18","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-03 05:00","2003","02","03","05:00","","-12.3","","-13.1","","94","","","","31","","15","","0.2","","92.05","","","","-20","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-03 06:00","2003","02","03","06:00","","-12.3","","-13.0","","94","","","","31","","15","","0.2","","92.11","","","","-20","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-03 07:00","2003","02","03","07:00","","-11.6","","-12.3","","95","","","","27","","13","","0.2","","92.14","","","","-18","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2003-02-03 08:00","2003","02","03","08:00","","-10.6","","-11.2","","95","","","","29","","9","","0.3","","92.15","","","","-16","",""
