datetime,Year,Month,Day,Hour,Wind Spd (km/h),mu_t,sigma_t,y_t
2001-01-01 00:00:00,2001,1,1,0,32.0,22.933333333333334,11.498240030957946,0.7885264738129928
2001-01-01 01:00:00,2001,1,1,1,28.0,20.333333333333332,11.16542281629615,0.6866436491305121
2001-01-01 02:00:00,2001,1,1,2,28.0,21.866666666666667,10.662796917096287,0.5752086793943717
2001-01-01 03:00:00,2001,1,1,3,33.0,21.866666666666667,11.281252885502862,0.9868880208899833
2001-01-01 04:00:00,2001,1,1,4,19.0,21.733333333333334,14.844270980832334,-0.18413388820931328
2001-01-01 05:00:00,2001,1,1,5,30.0,22.066666666666666,12.875595224336324,0.6161527444058229
2001-01-01 06:00:00,2001,1,1,6,28.0,23.2,12.531104158396076,0.3830468520033736
2001-01-01 07:00:00,2001,1,1,7,22.0,23.4,13.41001757748928,-0.10439956487082523
2001-01-01 08:00:00,2001,1,1,8,24.0,23.133333333333333,11.709987597081797,0.07401089535591361
2001-01-01 09:00:00,2001,1,1,9,20.0,22.6,11.369131139059961,-0.22868941946384994
2001-01-01 10:00:00,2001,1,1,10,17.0,23.4,10.534297725592749,-0.6075393127015385
2001-01-01 11:00:00,2001,1,1,11,19.0,22.333333333333332,10.58075521654201,-0.31503737352528305
2001-01-01 12:00:00,2001,1,1,12,28.0,23.933333333333334,9.535397711884363,0.42648107499472315
2001-01-01 13:00:00,2001,1,1,13,22.0,21.066666666666666,9.223159256278008,0.10119453729458629
2001-01-01 14:00:00,2001,1,1,14,17.0,22.2,12.393546707863733,-0.4195731958391368
2001-01-01 15:00:00,2001,1,1,15,33.0,23.6,14.71539524249543,0.6387867838476047
2001-01-01 16:00:00,2001,1,1,16,26.0,23.666666666666668,10.98483803552272,0.21241399516204146
2001-01-01 17:00:00,2001,1,1,17,20.0,25.266666666666666,11.847041020963038,-0.44455545121751777
2001-01-01 18:00:00,2001,1,1,18,28.0,25.2,11.007789449813643,0.25436533036588954
2001-01-01 19:00:00,2001,1,1,19,33.0,24.466666666666665,11.825315862085683,0.7216156788414338
