Year,Month,Day,Time (LST),Wind Spd (km/h)
1994,9,1,00:00,15
1994,9,1,01:00,11
1994,9,1,02:00,13
1994,9,1,03:00,13
1994,9,1,04:00,9
1994,9,1,05:00,9
1994,9,1,06:00,9
1994,9,1,07:00,13
1994,9,1,08:00,9
1994,9,1,09:00,15
1994,9,1,10:00,22
1994,9,1,11:00,24
1994,9,1,12:00,22
1994,9,1,13:00,26
1994,9,1,14:00,19
1994,9,1,15:00,22
1994,9,1,16:00,22
1994,9,1,17:00,19
1994,9,1,18:00,22
1994,9,1,19:00,22
1994,9,1,20:00,15
1994,9,1,21:00,19
1994,9,1,22:00,19
1994,9,1,23:00,19
1994,9,2,00:00,24
1994,9,2,01:00,24
1994,9,2,02:00,22
1994,9,2,03:00,19
1994,9,2,04:00,17
1994,9,2,05:00,17
1994,9,2,06:00,15
1994,9,2,07:00,13
1994,9,2,08:00,26
1994,9,2,09:00,33
1994,9,2,10:00,37
1994,9,2,11:00,41
1994,9,2,12:00,43
1994,9,2,13:00,43
1994,9,2,14:00,41
1994,9,2,15:00,37
1994,9,2,16:00,33
1994,9,2,17:00,33
1994,9,2,18:00,28
1994,9,2,19:00,26
1994,9,2,20:00,22
1994,9,2,21:00,22
1994,9,2,22:00,26
1994,9,2,23:00,32
1994,9,3,00:00,28
1994,9,3,01:00,26
1994,9,3,02:00,28
1994,9,3,03:00,28
1994,9,3,04:00,33
1994,9,3,05:00,32
1994,9,3,06:00,15
1994,9,3,07:00,15
1994,9,3,08:00,15
1994,9,3,09:00,11
1994,9,3,10:00,15
1994,9,3,11:00,22
1994,9,3,12:00,7
1994,9,3,13:00,26
1994,9,3,14:00,26
1994,9,3,15:00,30
1994,9,3,16:00,28
1994,9,3,17:00,22
1994,9,3,18:00,19
1994,9,3,19:00,15
1994,9,3,20:00,13
1994,9,3,21:00,19
1994,9,3,22:00,13
1994,9,3,23:00,17
1994,9,4,00:00,20
1994,9,4,01:00,17
1994,9,4,02:00,22
1994,9,4,03:00,22
1994,9,4,04:00,24
1994,9,4,05:00,24
1994,9,4,06:00,26
1994,9,4,07:00,26
1994,9,4,08:00,26
1994,9,4,09:00,28
1994,9,4,10:00,33
1994,9,4,11:00,37
1994,9,4,12:00,26
1994,9,4,13:00,41
1994,9,4,14:00,37
1994,9,4,15:00,33
1994,9,4,16:00,28
1994,9,4,17:00,30
1994,9,4,18:00,28
1994,9,4,19:00,28
1994,9,4,20:00,30
1994,9,4,21:00,30
1994,9,4,22:00,28
1994,9,4,23:00,22
1994,9,5,00:00,24
1994,9,5,01:00,22
1994,9,5,02:00,20
1994,9,5,03:00,22
1994,9,5,04:00,20
1994,9,5,05:00,15
1994,9,5,06:00,11
1994,9,5,07:00,15
1994,9,5,08:00,19
1994,9,5,09:00,15
1994,9,5,10:00,13
1994,9,5,11:00,19
1994,9,5,12:00,19
1994,9,5,13:00,17
1994,9,5,14:00,11
1994,9,5,15:00,19
1994,9,5,16:00,13
1994,9,5,17:00,15
1994,9,5,18:00,9
1994,9,5,19:00,7
1994,9,5,20:00,0
1994,9,5,21:00,4
1994,9,5,22:00,11
1994,9,5,23:00,13
1994,9,6,00:00,15
1994,9,6,01:00,17
1994,9,6,02:00,15
1994,9,6,03:00,15
1994,9,6,04:00,15
1994,9,6,05:00,19
1994,9,6,06:00,20
1994,9,6,07:00,19
1994,9,6,08:00,22
1994,9,6,09:00,19
1994,9,6,10:00,15
1994,9,6,11:00,13
1994,9,6,12:00,15
1994,9,6,13:00,9
1994,9,6,14:00,7
1994,9,6,15:00,9
1994,9,6,16:00,11
1994,9,6,17:00,4
1994,9,6,18:00,7
1994,9,6,19:00,7
1994,9,6,20:00,15
1994,9,6,21:00,15
1994,9,6,22:00,13
1994,9,6,23:00,15
1994,9,7,00:00,17
1994,9,7,01:00,15
1994,9,7,02:00,17
1994,9,7,03:00,15
1994,9,7,04:00,15
1994,9,7,05:00,15
1994,9,7,06:00,15
1994,9,7,07:00,17
1994,9,7,08:00,15
1994,9,7,09:00,15
1994,9,7,10:00,15
1994,9,7,11:00,15
1994,9,7,12:00,17
1994,9,7,13:00,22
1994,9,7,14:00,22
1994,9,7,15:00,22
1994,9,7,16:00,19
1994,9,7,17:00,30
1994,9,7,18:00,15
1994,9,7,19:00,11
1994,9,7,20:00,9
1994,9,7,21:00,9
1994,9,7,22:00,11
1994,9,7,23:00,15
1994,9,8,00:00,17
1994,9,8,01:00,19
1994,9,8,02:00,17
1994,9,8,03:00,11
1994,9,8,04:00,9
1994,9,8,05:00,13
1994,9,8,06:00,17
1994,9,8,07:00,19
1994,9,8,08:00,15
1994,9,8,09:00,17
1994,9,8,10:00,13
1994,9,8,11:00,11
1994,9,8,12:00,9
1994,9,8,13:00,7
1994,9,8,14:00,11
1994,9,8,15:00,15
1994,9,8,16:00,9
1994,9,8,17:00,4
1994,9,8,18:00,7
1994,9,8,19:00,15
1994,9,8,20:00,15
1994,9,8,21:00,11
1994,9,8,22:00,11
1994,9,8,23:00,15
1994,9,9,00:00,17
1994,9,9,01:00,15
1994,9,9,02:00,17
1994,9,9,03:00,11
1994,9,9,04:00,17
1994,9,9,05:00,11
1994,9,9,06:00,11
1994,9,9,07:00,17
1994,9,9,08:00,11
1994,9,9,09:00,15
1994,9,9,10:00,19
1994,9,9,11:00,11
1994,9,9,12:00,0
1994,9,9,13:00,11
1994,9,9,14:00,11
1994,9,9,15:00,15
1994,9,9,16:00,19
1994,9,9,17:00,11
1994,9,9,18:00,7
1994,9,9,19:00,7
1994,9,9,20:00,9
1994,9,9,21:00,4
1994,9,9,22:00,11
1994,9,9,23:00,24
1994,9,10,00:00,35
1994,9,10,01:00,35
1994,9,10,02:00,28
1994,9,10,03:00,39
1994,9,10,04:00,37
1994,9,10,05:00,33
1994,9,10,06:00,26
1994,9,10,07:00,22
1994,9,10,08:00,30
1994,9,10,09:00,30
1994,9,10,10:00,28
1994,9,10,11:00,28
1994,9,10,12:00,22
1994,9,10,13:00,26
1994,9,10,14:00,32
1994,9,10,15:00,28
1994,9,10,16:00,28
1994,9,10,17:00,30
1994,9,10,18:00,26
1994,9,10,19:00,15
1994,9,10,20:00,9
1994,9,10,21:00,7
1994,9,10,22:00,6
1994,9,10,23:00,0
1994,9,11,00:00,7
1994,9,11,01:00,9
1994,9,11,02:00,11
1994,9,11,03:00,9
1994,9,11,04:00,11
1994,9,11,05:00,19
1994,9,11,06:00,11
1994,9,11,07:00,11
1994,9,11,08:00,11
1994,9,11,09:00,13
1994,9,11,10:00,15
1994,9,11,11:00,19
1994,9,11,12:00,15
1994,9,11,13:00,11
1994,9,11,14:00,9
1994,9,11,15:00,7
1994,9,11,16:00,9
1994,9,11,17:00,7
1994,9,11,18:00,13
1994,9,11,19:00,9
1994,9,11,20:00,9
1994,9,11,21:00,7
1994,9,11,22:00,13
1994,9,11,23:00,13
1994,9,12,00:00,7
1994,9,12,01:00,9
1994,9,12,02:00,7
1994,9,12,03:00,11
1994,9,12,04:00,11
1994,9,12,05:00,13
1994,9,12,06:00,13
1994,9,12,07:00,15
1994,9,12,08:00,11
1994,9,12,09:00,11
1994,9,12,10:00,19
1994,9,12,11:00,15
1994,9,12,12:00,11
1994,9,12,13:00,11
1994,9,12,14:00,7
1994,9,12,15:00,9
1994,9,12,16:00,9
1994,9,12,17:00,7
1994,9,12,18:00,7
1994,9,12,19:00,6
1994,9,12,20:00,0
1994,9,12,21:00,7
1994,9,12,22:00,7
1994,9,12,23:00,7
1994,9,13,00:00,9
1994,9,13,01:00,9
1994,9,13,02:00,6
1994,9,13,03:00,9
1994,9,13,04:00,11
1994,9,13,05:00,17
1994,9,13,06:00,19
1994,9,13,07:00,20
1994,9,13,08:00,17
1994,9,13,09:00,19
1994,9,13,10:00,22
1994,9,13,11:00,15
1994,9,13,12:00,17
1994,9,13,13:00,22
1994,9,13,14:00,20
1994,9,13,15:00,11
1994,9,13,16:00,20
1994,9,13,17:00,22
1994,9,13,18:00,19
1994,9,13,19:00,15
1994,9,13,20:00,13
1994,9,13,21:00,19
1994,9,13,22:00,20
1994,9,13,23:00,20
1994,9,14,00:00,20
1994,9,14,01:00,20
1994,9,14,02:00,20
1994,9,14,03:00,22
1994,9,14,04:00,26
1994,9,14,05:00,13
1994,9,14,06:00,15
1994,9,14,07:00,20
1994,9,14,08:00,19
1994,9,14,09:00,19
1994,9,14,10:00,26
1994,9,14,11:00,22
1994,9,14,12:00,22
1994,9,14,13:00,26
1994,9,14,14:00,13
1994,9,14,15:00,22
1994,9,14,16:00,28
1994,9,14,17:00,26
1994,9,14,18:00,26
1994,9,14,19:00,20
1994,9,14,20:00,11
1994,9,14,21:00,13
1994,9,14,22:00,13
1994,9,14,23:00,15
1994,9,15,00:00,7
1994,9,15,01:00,7
1994,9,15,02:00,11
1994,9,15,03:00,13
1994,9,15,04:00,11
1994,9,15,05:00,17
1994,9,15,06:00,22
1994,9,15,07:00,19
1994,9,15,08:00,22
1994,9,15,09:00,22
1994,9,15,10:00,19
1994,9,15,11:00,20
1994,9,15,12:00,22
1994,9,15,13:00,28
1994,9,15,14:00,30
1994,9,15,15:00,30
1994,9,15,16:00,26
1994,9,15,17:00,22
1994,9,15,18:00,19
1994,9,15,19:00,13
1994,9,15,20:00,7
1994,9,15,21:00,0
1994,9,15,22:00,0
1994,9,15,23:00,7
1994,9,16,00:00,15
1994,9,16,01:00,17
1994,9,16,02:00,13
1994,9,16,03:00,17
1994,9,16,04:00,15
1994,9,16,05:00,17
1994,9,16,06:00,17
1994,9,16,07:00,19
1994,9,16,08:00,15
1994,9,16,09:00,19
1994,9,16,10:00,11
1994,9,16,11:00,11
1994,9,16,12:00,9
1994,9,16,13:00,13
1994,9,16,14:00,19
1994,9,16,15:00,13
1994,9,16,16:00,9
1994,9,16,17:00,11
1994,9,16,18:00,7
1994,9,16,19:00,0
1994,9,16,20:00,0
1994,9,16,21:00,0
1994,9,16,22:00,9
1994,9,16,23:00,11
1994,9,17,00:00,13
1994,9,17,01:00,11
1994,9,17,02:00,13
1994,9,17,03:00,17
1994,9,17,04:00,13
1994,9,17,05:00,17
1994,9,17,06:00,17
1994,9,17,07:00,17
1994,9,17,08:00,15
1994,9,17,09:00,13
1994,9,17,10:00,13
1994,9,17,11:00,19
1994,9,17,12:00,20
1994,9,17,13:00,22
1994,9,17,14:00,26
1994,9,17,15:00,26
1994,9,17,16:00,28
1994,9,17,17:00,26
1994,9,17,18:00,28
1994,9,17,19:00,20
1994,9,17,20:00,19
1994,9,17,21:00,15
1994,9,17,22:00,19
1994,9,17,23:00,20
1994,9,18,00:00,17
1994,9,18,01:00,20
1994,9,18,02:00,17
