"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 00:00","2002","06","01","00:00","","11.8","","8.7","","81","","","","23","","17","","15.0","","99.50","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 01:00","2002","06","01","01:00","","12.1","","9.1","","82","","","","25","","15","","15.0","","99.49","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 02:00","2002","06","01","02:00","","12.4","","8.9","","79","","","","22","","11","","15.0","","99.46","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 03:00","2002","06","01","03:00","","12.0","","8.7","","80","","","","24","","11","","15.0","","99.42","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 04:00","2002","06","01","04:00","","11.7","","8.5","","81","","","","22","","19","","15.0","","99.40","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 05:00","2002","06","01","05:00","","14.0","","9.6","","75","","","","26","","24","","15.0","","99.39","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 06:00","2002","06","01","06:00","","12.5","","9.4","","81","","","","22","","9","","15.0","","99.44","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 07:00","2002","06","01","07:00","","15.1","","10.2","","73","","","","23","","15","","15.0","","99.45","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 08:00","2002","06","01","08:00","","21.0","","11.7","","55","","","","27","","24","","15.0","","99.47","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 09:00","2002","06","01","09:00","","22.8","","11.8","","50","","","","27","","19","","15.0","","99.48","","25","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 10:00","2002","06","01","10:00","","24.4","","10.4","","41","","","","30","","28","","15.0","","99.47","","26","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 11:00","2002","06","01","11:00","","25.9","","8.5","","33","","","","28","","37","","12.9","","99.45","","27","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 12:00","2002","06","01","12:00","","26.9","","7.7","","30","","","","30","","28","","15.0","","99.43","","27","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 13:00","2002","06","01","13:00","","27.0","","8.9","","32","","","","26","","26","","15.0","","99.39","","28","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 14:00","2002","06","01","14:00","","26.6","","6.8","","28","","","","28","","35","","15.0","","99.34","","27","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 15:00","2002","06","01","15:00","","27.7","","7.5","","28","","","","27","","35","","15.0","","99.30","","28","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 16:00","2002","06","01","16:00","","25.9","","9.2","","35","","","","26","","20","","15.0","","99.25","","27","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 17:00","2002","06","01","17:00","","22.0","","8.2","","41","","","","26","","28","","15.0","","99.22","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 18:00","2002","06","01","18:00","","25.5","","6.9","","30","","","","27","","30","","15.0","","99.17","","25","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 19:00","2002","06","01","19:00","","20.9","","8.7","","46","","","","27","","11","","15.0","","99.10","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 20:00","2002","06","01","20:00","","17.7","","9.8","","60","","","","28","","11","","15.0","","99.18","","","","","","Rain"
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 21:00","2002","06","01","21:00","","22.9","","11.3","","48","","","","34","","22","","15.0","","99.23","","25","","","","Rain"
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 22:00","2002","06","01","22:00","","18.5","","12.4","","68","","","","33","","13","","15.0","","99.28","","","","","","Rain"
"-79.40","43.63","TORONTO ISLAND A","6158665","2002-06-01 23:00","2002","06","01","23:00","","16.4","","13.2","","81","","","","27","","17","","8.0","","99.26","","","","","","Rain"
