"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO ISLAND A","6158665","1993-11-01 00:00","1993","11","01","00:00","","","","","","","","35","","22","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1993-11-01 01:00","1993","11","01","01:00","","","","","","","","35","","22","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1993-11-01 02:00","1993","11","01","02:00","","","","","","","","35","","22","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1993-11-01 03:00","1993","11","01","03:00","","","","","","","","35","","26","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1993-11-01 04:00","1993","11","01","04:00","","","","","","","","34","","26","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1993-11-01 05:00","1993","11","01","05:00","","","","","","","","33","","24","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1993-11-01 06:00","1993","11","01","06:00","","","","","","","","34","","22","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1993-11-01 07:00","1993","11","01","07:00","","0.1","","-5.6","","65","","34","","22","","25.0","","100.35","","","","","","Mostly Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1993-11-01 08:00","1993","11","01","08:00","","0.0","","-5.7","","65","","34","","26","","25.0","","100.45","","","","-6","","Mostly Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1993-11-01 09:00","1993","11","01","09:00","","0.2","","-5.4","","66","","34","","26","","25.0","","100.52","","","","","","Mostly Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1993-11-01 10:00","1993","11","01","10:00","","0.8","","-4.8","","66","","32","","33","","25.0","","100.55","","","","","","Mostly Cloudy"
