Year,actual_mean,actual_std,actual_count
1989,17.328202182653648,10.986242892831651,8705
1990,16.848463272813575,10.656503156756107,8427
1991,15.714227142271422,10.618022740139853,7317
1992,15.509688995215312,10.178366296725518,8360
1993,14.841135573580534,9.671587184323363,8630
1994,14.739718114602589,9.269148275488867,8656
1995,17.80579437050995,10.657991659280919,8491
1996,17.296240947235315,10.642887264777485,8699
1997,17.87611749680715,10.644592083032299,8613
1998,16.850703580825993,10.301008416194062,8741
1999,17.333060843162443,10.726811447069823,8563
2000,16.938093603387117,10.16417931552247,8739
2001,16.729528819762123,10.425859199614273,8744
2002,18.21798396334479,11.130713878469463,8730
2003,17.707515777395294,11.373292635392596,8715
