Year,Month,Day,Time (LST),Wind Spd (km/h)
2002,6,1,00:00,17.0
2002,6,1,01:00,15.0
2002,6,1,02:00,11.0
2002,6,1,03:00,11.0
2002,6,1,04:00,19.0
2002,6,1,05:00,24.0
2002,6,1,06:00,9.0
2002,6,1,07:00,15.0
2002,6,1,08:00,24.0
2002,6,1,09:00,19.0
2002,6,1,10:00,28.0
2002,6,1,11:00,37.0
2002,6,1,12:00,28.0
2002,6,1,13:00,26.0
2002,6,1,14:00,35.0
2002,6,1,15:00,35.0
2002,6,1,16:00,20.0
2002,6,1,17:00,28.0
2002,6,1,18:00,30.0
2002,6,1,19:00,11.0
2002,6,1,20:00,11.0
2002,6,1,21:00,22.0
2002,6,1,22:00,13.0
2002,6,1,23:00,17.0
2002,6,2,00:00,22.0
2002,6,2,01:00,33.0
2002,6,2,02:00,30.0
2002,6,2,03:00,24.0
2002,6,2,04:00,11.0
2002,6,2,05:00,11.0
2002,6,2,06:00,19.0
2002,6,2,07:00,15.0
2002,6,2,08:00,26.0
2002,6,2,09:00,20.0
2002,6,2,10:00,26.0
2002,6,2,11:00,22.0
2002,6,2,12:00,19.0
2002,6,2,13:00,30.0
2002,6,2,14:00,19.0
2002,6,2,15:00,20.0
2002,6,2,16:00,28.0
2002,6,2,17:00,28.0
2002,6,2,18:00,28.0
2002,6,2,19:00,24.0
2002,6,2,20:00,19.0
2002,6,2,21:00,13.0
2002,6,2,22:00,9.0
2002,6,2,23:00,9.0
2002,6,3,00:00,9.0
2002,6,3,01:00,13.0
2002,6,3,02:00,13.0
2002,6,3,03:00,13.0
2002,6,3,04:00,17.0
2002,6,3,05:00,13.0
2002,6,3,06:00,13.0
2002,6,3,07:00,11.0
2002,6,3,08:00,17.0
2002,6,3,09:00,17.0
2002,6,3,10:00,15.0
2002,6,3,11:00,13.0
2002,6,3,12:00,13.0
2002,6,3,13:00,15.0
2002,6,3,14:00,11.0
2002,6,3,15:00,6.0
2002,6,3,16:00,0.0
2002,6,3,17:00,6.0
2002,6,3,18:00,4.0
2002,6,3,19:00,4.0
2002,6,3,20:00,4.0
2002,6,3,21:00,6.0
2002,6,3,22:00,9.0
2002,6,3,23:00,13.0
2002,6,4,00:00,15.0
2002,6,4,01:00,17.0
2002,6,4,02:00,19.0
2002,6,4,03:00,17.0
2002,6,4,04:00,22.0
2002,6,4,05:00,22.0
2002,6,4,06:00,35.0
2002,6,4,07:00,37.0
2002,6,4,08:00,35.0
2002,6,4,09:00,37.0
2002,6,4,10:00,24.0
2002,6,4,11:00,26.0
2002,6,4,12:00,19.0
2002,6,4,13:00,20.0
2002,6,4,14:00,26.0
2002,6,4,15:00,22.0
2002,6,4,16:00,11.0
2002,6,4,17:00,15.0
2002,6,4,18:00,20.0
2002,6,4,19:00,17.0
2002,6,4,20:00,7.0
2002,6,4,21:00,11.0
2002,6,4,22:00,7.0
2002,6,4,23:00,6.0
2002,6,5,00:00,0.0
2002,6,5,01:00,4.0
2002,6,5,02:00,4.0
2002,6,5,03:00,9.0
2002,6,5,04:00,0.0
2002,6,5,05:00,6.0
2002,6,5,06:00,0.0
2002,6,5,07:00,4.0
2002,6,5,08:00,9.0
2002,6,5,09:00,9.0
2002,6,5,10:00,0.0
2002,6,5,11:00,9.0
2002,6,5,12:00,4.0
2002,6,5,13:00,0.0
2002,6,5,14:00,4.0
2002,6,5,15:00,4.0
2002,6,5,16:00,4.0
2002,6,5,17:00,22.0
2002,6,5,18:00,26.0
2002,6,5,19:00,22.0
2002,6,5,20:00,17.0
2002,6,5,21:00,17.0
2002,6,5,22:00,15.0
2002,6,5,23:00,19.0
2002,6,6,00:00,15.0
2002,6,6,01:00,19.0
2002,6,6,02:00,20.0
2002,6,6,03:00,15.0
2002,6,6,04:00,13.0
2002,6,6,05:00,19.0
